refund_id,payment_id,amount,ts
REF000147,PAY000522,3109,2026-08-13T07:00:00
REF000148,PAY000525,340,2026-08-20T14:00:00
REF000149,PAY000528,5670,2026-08-07T19:00:00
REF000150,PAY000531,7130,2026-08-18T13:00:00
REF000151,PAY000534,2720,2026-08-27T01:00:00
REF000152,PAY000538,1147,2026-08-22T02:00:00
REF000153,PAY000539,1470,2026-08-29T10:00:00
REF000154,PAY000542,1582,2026-08-22T00:00:00
REF000155,PAY000546,6284,2026-08-26T01:00:00
REF000156,PAY000556,4463,2026-08-28T06:00:00
REF000157,PAY000557,1145,2026-08-13T12:00:00
REF000158,PAY000559,1506,2026-08-21T17:00:00
REF000159,PAY000568,1344,2026-08-16T15:00:00
REF000160,PAY000571,2294,2026-08-31T11:00:00
REF000161,PAY000574,3546,2026-08-15T02:00:00
REF000162,PAY000577,3188,2026-08-31T15:00:00
REF000163,PAY000580,5374,2026-08-28T10:00:00
REF000164,PAY000586,4992,2026-08-26T16:00:00
REF000165,PAY000591,188,2026-09-03T20:00:00
REF000166,PAY000598,5065,2026-08-09T11:00:00
REF000167,PAY000600,8183,2026-08-20T15:00:00
REF000168,PAY000606,150,2026-08-25T00:00:00
REF000169,PAY000613,1693,2026-08-23T00:00:00
REF000170,PAY000616,4486,2026-08-20T16:00:00
REF000171,PAY000622,4701,2026-09-01T19:00:00
REF000172,PAY000623,584,2026-08-22T00:00:00
REF000173,PAY000625,2444,2026-08-30T19:00:00
REF000174,PAY000628,673,2026-08-09T17:00:00
REF000175,PAY000629,2083,2026-08-20T06:00:00
REF000176,PAY000630,2898,2026-09-03T03:00:00
REF000177,PAY000632,176,2026-08-25T23:00:00
REF000178,PAY000636,3826,2026-09-02T07:00:00
REF000179,PAY000639,3668,2026-08-29T02:00:00
REF000180,PAY000640,4885,2026-08-14T04:00:00
REF000181,PAY000641,2341,2026-08-19T02:00:00
REF000182,PAY000645,2495,2026-08-26T02:00:00
REF000183,PAY000646,1982,2026-08-12T20:00:00
REF000184,PAY000653,288,2026-08-09T18:00:00
REF000185,PAY000654,5080,2026-08-26T20:00:00
REF000186,PAY000662,3035,2026-09-04T09:00:00
REF000187,PAY000663,4984,2026-08-21T21:00:00
REF000188,PAY000667,2889,2026-09-01T13:00:00
REF000189,PAY000672,376,2026-08-24T07:00:00
REF000190,PAY000677,2356,2026-08-22T18:00:00
REF000191,PAY000680,376,2026-08-23T00:00:00
REF000192,PAY000682,6399,2026-08-27T13:00:00
REF000193,PAY000683,415,2026-08-24T05:00:00
REF000194,PAY000689,9408,2026-08-13T09:00:00
REF000195,PAY000690,1419,2026-08-26T10:00:00
REF000196,PAY000691,5646,2026-08-16T21:00:00
REF000197,PAY000692,4275,2026-08-21T19:00:00
REF000198,PAY000695,460,2026-08-30T22:00:00
REF000199,PAY000698,5036,2026-08-06T09:00:00
REF000200,PAY000700,2532,2026-08-22T04:00:00
REF000201,PAY000706,4344,2026-08-11T04:00:00
REF000202,PAY000712,4737,2026-08-26T07:00:00
REF000203,PAY000713,6759,2026-08-13T13:00:00
REF000204,PAY000714,2217,2026-08-07T20:00:00
REF000205,PAY000715,206,2026-08-08T00:00:00
REF000206,PAY000723,467,2026-08-07T11:00:00
REF000207,PAY000726,8809,2026-08-08T05:00:00
REF000208,PAY000728,849,2026-08-15T08:00:00
REF000209,PAY000734,1285,2026-08-29T14:00:00
REF000210,PAY000736,1374,2026-08-14T15:00:00
REF000211,PAY000739,938,2026-08-08T10:00:00
REF000212,PAY000744,424,2026-08-22T17:00:00
REF000213,PAY000748,94,2026-08-10T07:00:00
REF000214,PAY000754,8574,2026-08-23T22:00:00
REF000215,PAY000759,72,2026-08-30T17:00:00
REF000216,PAY000761,4900,2026-08-24T04:00:00
REF000217,PAY000764,191,2026-08-07T03:00:00
REF000218,PAY000766,3333,2026-08-18T09:00:00
REF000219,PAY000768,290,2026-08-28T15:00:00
REF000220,PAY000772,2193,2026-08-07T12:00:00
REF000221,PAY000779,962,2026-08-11T23:00:00
REF000222,PAY000780,1869,2026-08-11T00:00:00
REF000223,PAY000782,261,2026-09-02T22:00:00
REF000224,PAY000784,5550,2026-08-15T23:00:00
REF000225,PAY000787,1399,2026-08-25T23:00:00
REF000226,PAY000790,5054,2026-08-27T02:00:00
REF000227,PAY000791,1611,2026-08-21T00:00:00
REF000228,PAY000796,1396,2026-08-09T20:00:00
REF000229,PAY000804,6991,2026-08-17T10:00:00
REF000230,PAY000808,5583,2026-08-11T11:00:00
REF000231,PAY000812,3248,2026-08-16T13:00:00
REF000232,PAY000814,776,2026-09-01T06:00:00
REF000233,PAY000815,382,2026-08-17T04:00:00
REF000234,PAY000816,1782,2026-08-24T13:00:00
REF000235,PAY000818,7688,2026-08-08T18:00:00
REF000236,PAY000832,1408,2026-09-02T20:00:00
REF000237,PAY000836,5950,2026-08-09T01:00:00
REF000238,PAY000837,6998,2026-09-01T08:00:00
REF000239,PAY000838,1454,2026-08-22T14:00:00
REF000240,PAY000840,6167,2026-08-18T18:00:00
REF000241,PAY000841,1866,2026-08-07T19:00:00
REF000242,PAY000844,4248,2026-08-29T09:00:00
REF000243,PAY000847,187,2026-08-24T18:00:00
REF000244,PAY000849,4721,2026-08-09T00:00:00
REF000245,PAY000852,1058,2026-08-26T00:00:00
REF000246,PAY000853,2766,2026-08-14T23:00:00
REF000247,PAY000856,1285,2026-09-03T15:00:00
REF000248,PAY000858,7373,2026-08-12T10:00:00
REF000249,PAY000861,2767,2026-08-13T12:00:00
REF000250,PAY000864,1563,2026-08-25T11:00:00
REF000251,PAY000868,5404,2026-08-19T07:00:00
REF000252,PAY000871,7275,2026-08-29T12:00:00
REF000253,PAY000875,6876,2026-08-17T22:00:00
REF000254,PAY000881,4823,2026-08-27T16:00:00
REF000255,PAY000883,185,2026-08-26T19:00:00
REF000256,PAY000884,3948,2026-08-09T05:00:00
REF000257,PAY000902,1542,2026-08-29T06:00:00
REF000258,PAY000903,2205,2026-08-25T23:00:00
REF000259,PAY000905,6387,2026-08-27T23:00:00
REF000260,PAY000908,52,2026-08-28T17:00:00
REF000261,PAY000910,5814,2026-09-01T12:00:00
REF000262,PAY000912,846,2026-08-16T01:00:00
REF000263,PAY000913,2123,2026-08-30T21:00:00
REF000264,PAY000915,3677,2026-08-19T08:00:00
REF000265,PAY000922,3106,2026-08-27T08:00:00
REF000266,PAY000928,1869,2026-08-10T20:00:00
REF000267,PAY000933,1126,2026-08-25T08:00:00
REF000268,PAY000937,1686,2026-08-23T22:00:00
REF000269,PAY000938,1275,2026-08-15T06:00:00
REF000270,PAY000939,5216,2026-08-13T09:00:00
REF000271,PAY000940,3566,2026-08-11T05:00:00
REF000272,PAY000941,3580,2026-08-24T14:00:00
REF000273,PAY000949,753,2026-08-25T17:00:00
REF000274,PAY000954,1019,2026-08-12T01:00:00
REF000275,PAY000956,1646,2026-08-22T06:00:00
REF000276,PAY000958,1511,2026-08-21T13:00:00
REF000277,PAY000963,2536,2026-09-04T00:00:00
REF000278,PAY000970,1779,2026-08-08T18:00:00
REF000279,PAY000973,502,2026-08-08T06:00:00
REF000280,PAY000975,140,2026-08-27T12:00:00
REF000281,PAY000979,1657,2026-09-01T09:00:00
REF000282,PAY000981,7307,2026-08-24T21:00:00
REF000283,PAY000991,1809,2026-08-30T02:00:00
REF000284,PAY000995,1578,2026-08-12T06:00:00
REF000285,PAY000996,4954,2026-08-11T19:00:00
REF000286,PAY001003,114,2026-08-26T20:00:00
REF000287,PAY001004,1364,2026-08-18T21:00:00
REF000288,PAY001006,477,2026-08-07T11:00:00
REF000289,PAY001010,523,2026-08-12T18:00:00
REF000290,PAY001020,1156,2026-08-22T13:00:00
REF000291,PAY001021,1339,2026-09-03T12:00:00
REF000292,PAY001024,2149,2026-08-22T15:00:00
REF000293,PAY001027,3360,2026-08-10T20:00:00
REF000294,PAY001031,4473,2026-08-11T08:00:00
REF000295,PAY001032,877,2026-08-06T17:00:00
REF000296,PAY001034,2803,2026-08-31T22:00:00
REF000297,PAY001038,636,2026-08-24T02:00:00
REF000298,PAY001039,5552,2026-08-17T19:00:00
REF000299,PAY001042,1962,2026-08-26T22:00:00
REF000300,PAY001043,161,2026-08-25T02:00:00
REF000301,PAY001044,2891,2026-08-30T17:00:00
REF000302,PAY001052,382,2026-08-18T23:00:00
REF000303,PAY001059,6393,2026-09-03T04:00:00
REF000304,PAY001062,2609,2026-08-09T15:00:00
REF000305,PAY001063,333,2026-08-10T16:00:00
REF000306,PAY001069,806,2026-09-03T08:00:00
REF000307,PAY001070,1952,2026-08-25T14:00:00
REF000308,PAY001072,3224,2026-08-14T11:00:00
REF000309,PAY001073,1723,2026-09-03T19:00:00
REF000310,PAY001090,1449,2026-08-21T03:00:00
REF000311,PAY001091,1508,2026-09-02T06:00:00
REF000312,PAY001092,1530,2026-08-30T10:00:00
REF000313,PAY001100,903,2026-08-27T20:00:00
REF000314,PAY001104,3906,2026-08-29T17:00:00
REF000315,PAY001106,4730,2026-08-08T14:00:00
REF000316,PAY001108,2948,2026-08-29T22:00:00
REF000317,PAY001110,148,2026-08-15T14:00:00
REF000318,PAY001120,400,2026-08-21T07:00:00
REF000319,PAY001121,177,2026-08-20T23:00:00
REF000320,PAY001125,2526,2026-08-27T23:00:00
REF000321,PAY001132,724,2026-08-22T03:00:00
REF000322,PAY001134,1357,2026-08-16T15:00:00
REF000323,PAY001135,112,2026-08-08T21:00:00
REF000324,PAY001139,6334,2026-09-02T03:00:00
REF000325,PAY001144,2576,2026-08-24T10:00:00
REF000326,PAY001146,165,2026-08-20T11:00:00
REF000327,PAY001147,1477,2026-08-09T16:00:00
REF000328,PAY001150,2046,2026-08-12T01:00:00
REF000329,PAY001151,1755,2026-08-10T05:00:00
REF000330,PAY001153,8022,2026-08-30T13:00:00
REF000331,PAY001158,8754,2026-08-23T00:00:00
REF000332,PAY001159,5632,2026-08-21T22:00:00
REF000333,PAY001161,4231,2026-08-18T05:00:00
REF000334,PAY001163,14871,2026-08-27T19:00:00
REF000335,PAY001166,2328,2026-08-27T10:00:00
REF000336,PAY001168,240,2026-09-01T09:00:00
REF000337,PAY001172,2526,2026-09-04T03:00:00
REF000338,PAY001181,194,2026-08-09T23:00:00
REF000339,PAY001182,5205,2026-08-15T06:00:00
REF000340,PAY001184,207,2026-08-23T14:00:00
REF000341,PAY001185,1102,2026-09-03T20:00:00
REF000342,PAY001187,1017,2026-08-14T18:00:00
REF000343,PAY001191,2215,2026-08-30T12:00:00
REF000344,PAY001194,3726,2026-08-19T03:00:00
REF000345,PAY001200,1163,2026-09-03T22:00:00
REF000346,PAY001202,147,2026-08-09T00:00:00
REF000347,PAY001204,1288,2026-08-29T21:00:00
REF000348,PAY001206,2755,2026-09-01T05:00:00
REF000349,PAY001208,177,2026-08-19T03:00:00
REF000350,PAY001209,882,2026-08-24T03:00:00
REF000351,PAY001211,4478,2026-08-17T01:00:00
REF000352,PAY001214,5295,2026-09-04T10:00:00
REF000353,PAY001215,1400,2026-08-18T18:00:00
REF000354,PAY001219,5621,2026-09-01T00:00:00
REF000355,PAY001221,6441,2026-08-30T21:00:00
REF000356,PAY001230,2872,2026-08-08T11:00:00
REF000357,PAY001232,1268,2026-08-09T04:00:00
REF000358,PAY001236,1601,2026-08-17T17:00:00
REF000359,PAY001237,2045,2026-08-10T15:00:00
REF000360,PAY001239,417,2026-08-31T15:00:00
REF000361,PAY001246,661,2026-08-15T05:00:00
REF000362,PAY001248,5102,2026-08-16T02:00:00
REF000363,PAY001252,952,2026-08-21T13:00:00
REF000364,PAY001262,1803,2026-08-24T22:00:00
REF000365,PAY001263,7647,2026-08-10T05:00:00
REF000366,PAY001265,4400,2026-08-18T15:00:00
REF000367,PAY001268,421,2026-09-03T18:00:00
REF000368,PAY001278,980,2026-08-07T18:00:00
REF000369,PAY001284,3250,2026-08-27T19:00:00
REF000370,PAY001285,615,2026-08-30T16:00:00
REF000371,PAY001292,6516,2026-08-22T09:00:00
REF000372,PAY001295,768,2026-08-07T00:00:00
REF000373,PAY001296,698,2026-08-10T22:00:00
REF000374,PAY001297,4657,2026-09-02T23:00:00
REF000375,PAY001307,392,2026-08-12T11:00:00
REF000376,PAY001312,959,2026-08-17T17:00:00
REF000377,PAY001314,1752,2026-08-22T12:00:00
REF000378,PAY001318,4068,2026-09-02T15:00:00
REF000379,PAY001320,126,2026-08-08T03:00:00
REF000380,PAY001327,2725,2026-09-02T04:00:00
REF000381,PAY001333,194,2026-08-19T13:00:00
REF000382,PAY001334,683,2026-08-13T23:00:00
REF000383,PAY001336,318,2026-09-03T17:00:00
REF000384,PAY001338,1021,2026-08-25T23:00:00
REF000385,PAY001343,1285,2026-08-06T23:00:00
REF000386,PAY001345,1242,2026-08-23T14:00:00
REF000387,PAY001347,78,2026-08-12T21:00:00
REF000388,PAY001348,3138,2026-08-12T12:00:00
REF000389,PAY001350,5567,2026-08-30T21:00:00
REF000390,PAY001352,953,2026-08-13T06:00:00
REF000391,PAY001354,2373,2026-08-15T23:00:00
REF000392,PAY001355,3386,2026-08-23T01:00:00
REF000393,PAY001364,2103,2026-08-14T13:00:00
REF000394,PAY001365,1561,2026-09-02T04:00:00
REF000395,PAY001368,2089,2026-08-14T12:00:00
REF000396,PAY001371,620,2026-08-07T07:00:00
REF000397,PAY001378,7351,2026-08-08T18:00:00
REF000398,PAY001380,3894,2026-08-07T19:00:00
REF000399,PAY001381,5045,2026-08-30T13:00:00
REF000400,PAY001383,3897,2026-08-10T08:00:00
REF000401,PAY001387,5255,2026-09-01T05:00:00
REF000402,PAY001388,637,2026-08-18T07:00:00
REF000403,PAY001390,3331,2026-08-12T19:00:00
REF000404,PAY001393,4271,2026-08-16T02:00:00
REF000405,PAY001395,5275,2026-08-12T17:00:00
REF000406,PAY001396,3337,2026-08-19T21:00:00
REF000407,PAY001399,3918,2026-08-18T03:00:00
REF000408,PAY001400,1321,2026-08-15T15:00:00
REF000409,PAY001402,1667,2026-08-23T14:00:00
REF000410,PAY001406,1219,2026-08-14T02:00:00
REF000411,PAY001408,300,2026-08-22T02:00:00
REF000412,PAY001410,612,2026-08-16T16:00:00
REF000413,PAY001411,4420,2026-08-19T11:00:00
REF000414,PAY001414,6107,2026-08-07T04:00:00
REF000415,PAY001415,6352,2026-08-22T06:00:00
REF000416,PAY001416,3922,2026-08-16T13:00:00
REF000417,PAY001419,706,2026-08-16T17:00:00
REF000418,PAY001425,6614,2026-08-26T22:00:00
REF000419,PAY001426,561,2026-08-13T10:00:00
REF000420,PAY001428,1457,2026-08-10T03:00:00
REF000421,PAY001429,1555,2026-08-27T16:00:00
REF000422,PAY001430,238,2026-08-11T15:00:00
REF000423,PAY001431,5794,2026-08-28T06:00:00
REF000424,PAY001435,4411,2026-08-23T04:00:00
REF000425,PAY001438,1122,2026-08-25T09:00:00
REF000426,PAY001440,2698,2026-08-18T11:00:00
REF000427,PAY001442,2776,2026-08-25T10:00:00
REF000428,PAY001444,11971,2026-08-27T07:00:00
REF000429,PAY001446,2068,2026-08-20T23:00:00
REF000430,PAY001448,1097,2026-08-14T03:00:00
REF000431,PAY001449,2206,2026-08-09T07:00:00
REF000432,PAY001452,800,2026-09-02T22:00:00
REF000433,PAY001459,1070,2026-08-06T13:00:00
REF000434,PAY001460,398,2026-08-30T06:00:00
REF000435,PAY001464,7121,2026-09-02T09:00:00
REF000436,PAY001466,3207,2026-08-18T10:00:00
REF000437,PAY001467,1698,2026-08-23T07:00:00
REF000438,PAY001472,4255,2026-08-20T21:00:00
REF000439,PAY001479,4174,2026-09-03T18:00:00
REF000440,PAY001480,1542,2026-08-18T16:00:00
REF000441,PAY001481,7504,2026-08-06T20:00:00
REF000442,PAY001483,5566,2026-08-30T22:00:00
REF000443,PAY001487,78,2026-08-27T07:00:00
REF000444,PAY001490,3506,2026-09-03T12:00:00
REF000445,PAY001493,114,2026-08-31T01:00:00
REF000446,PAY001499,421,2026-08-27T06:00:00
REF000447,PAY001504,370,2026-08-09T14:00:00
REF000448,PAY001506,198,2026-08-20T03:00:00
REF000449,PAY001507,2112,2026-09-03T02:00:00
REF000450,PAY001515,794,2026-08-21T04:00:00
REF000451,PAY001519,3136,2026-08-12T20:00:00
REF000452,PAY001532,2261,2026-08-10T04:00:00
REF000453,PAY001534,4207,2026-08-20T08:00:00
REF000454,PAY001549,4332,2026-08-28T22:00:00
REF000455,PAY001553,4535,2026-08-20T13:00:00
REF000456,PAY001557,3405,2026-08-18T22:00:00
REF000457,PAY001559,2763,2026-09-03T09:00:00
REF000458,PAY001568,884,2026-08-06T12:00:00
REF000459,PAY001569,529,2026-08-22T17:00:00
REF000460,PAY001571,540,2026-08-09T23:00:00
REF000461,PAY001574,355,2026-08-23T23:00:00
REF000462,PAY001576,5258,2026-08-14T02:00:00
REF000463,PAY001580,2025,2026-08-23T19:00:00
REF000464,PAY001582,1372,2026-08-12T16:00:00
REF000465,PAY001589,7232,2026-08-07T18:00:00
REF000466,PAY001596,4087,2026-08-09T14:00:00
REF000467,PAY001597,327,2026-08-27T00:00:00
REF000468,PAY001597,327,2026-08-27T01:00:00
REF000469,PAY001598,1637,2026-08-07T07:00:00
REF000470,PAY001602,3548,2026-08-08T02:00:00
REF000471,PAY001605,1770,2026-08-12T17:00:00
REF000472,PAY001606,720,2026-08-11T01:00:00
REF000473,PAY001608,1323,2026-09-01T18:00:00
REF000474,PAY001610,1026,2026-08-20T22:00:00
REF000475,PAY001614,5053,2026-08-08T17:00:00
REF000476,PAY001615,905,2026-08-22T21:00:00
REF000477,PAY001619,1268,2026-09-01T13:00:00
REF000478,PAY001622,648,2026-08-16T20:00:00
REF000479,PAY001624,116,2026-08-13T08:00:00
REF000480,PAY001627,3947,2026-08-15T12:00:00
REF000481,PAY001629,222,2026-08-14T07:00:00
REF000482,PAY001630,3822,2026-08-15T13:00:00
REF000483,PAY001633,951,2026-08-27T03:00:00
REF000484,PAY001634,340,2026-08-28T00:00:00
REF000485,PAY001636,184,2026-08-31T03:00:00
REF000486,PAY001640,953,2026-08-29T21:00:00
REF000487,PAY001647,5886,2026-08-19T12:00:00
REF000488,PAY001655,3668,2026-08-25T11:00:00
REF000489,PAY001657,342,2026-08-20T02:00:00
REF000490,PAY001658,2747,2026-08-24T18:00:00
REF000491,PAY001662,8449,2026-08-29T02:00:00
REF000492,PAY001666,1188,2026-08-10T19:00:00
REF000493,PAY001675,1959,2026-08-23T00:00:00
REF000494,PAY001682,3320,2026-08-09T15:00:00
REF000495,PAY001684,984,2026-08-20T15:00:00
REF000496,PAY001686,1615,2026-08-18T16:00:00
REF000497,PAY001687,2252,2026-08-23T00:00:00
REF000498,PAY001690,2122,2026-09-02T13:00:00
REF000499,PAY001697,2239,2026-08-18T18:00:00
REF000500,PAY001703,1777,2026-09-03T06:00:00
REF000501,PAY001707,3443,2026-08-12T08:00:00
REF000502,PAY001708,266,2026-08-20T05:00:00
REF000503,PAY001710,1190,2026-08-07T17:00:00
REF000504,PAY001714,2922,2026-08-08T08:00:00
REF000505,PAY001719,560,2026-08-22T19:00:00
REF000506,PAY001721,2651,2026-08-07T23:00:00
REF000507,PAY001727,1263,2026-08-12T00:00:00
REF000508,PAY001729,772,2026-08-09T14:00:00
REF000509,PAY001731,2995,2026-08-18T11:00:00
REF000510,PAY001733,3174,2026-08-17T05:00:00
REF000511,PAY001736,1169,2026-08-15T10:00:00
REF000512,PAY001737,2100,2026-08-19T11:00:00
REF000513,PAY001743,191,2026-08-20T00:00:00
REF000514,PAY001744,7512,2026-08-06T09:00:00
REF000515,PAY001748,2525,2026-08-14T02:00:00
REF000516,PAY001752,156,2026-08-13T01:00:00
REF000517,PAY001753,3119,2026-08-27T12:00:00
REF000518,PAY001755,291,2026-08-27T15:00:00
REF000519,PAY001757,401,2026-08-19T08:00:00
REF000520,PAY001758,1973,2026-08-15T01:00:00
REF000521,PAY001759,594,2026-09-04T03:00:00
REF000522,PAY001766,5778,2026-08-24T20:00:00
