credit_id,settlement_id,amount,ts
CR000065,SET000067,14026,2026-08-22T05:00:00
CR000066,SET000068,9337,2026-08-22T19:00:00
CR000067,SET000069,5356,2026-09-01T11:00:00
CR000068,SET000070,9438,2026-09-01T16:00:00
CR000069,SET000071,11054,2026-08-12T10:00:00
CR000070,SET000072,42762,2026-08-07T03:00:00
CR000071,SET000073,7593,2026-08-29T21:00:00
CR000072,SET000074,7814,2026-08-28T23:00:00
CR000073,SET000075,14433,2026-08-26T22:00:00
CR000074,SET000076,17021,2026-09-02T10:00:00
CR000075,SET000077,17237,2026-08-30T01:00:00
CR000076,SET000078,29207,2026-08-17T09:00:00
CR000077,SET000079,45129,2026-08-12T08:00:00
CR000078,SET000080,38195,2026-08-17T06:00:00
CR000079,SET000081,24275,2026-09-02T22:00:00
CR000080,SET000082,16919,2026-08-20T12:00:00
CR000081,SET000083,10849,2026-08-25T12:00:00
CR000082,SET000084,12288,2026-09-03T13:00:00
CR000083,SET000085,22201,2026-08-18T01:00:00
CR000084,SET000086,45100,2026-08-15T13:00:00
CR000085,SET000087,30387,2026-08-25T21:00:00
CR000086,SET000088,13315,2026-08-23T17:00:00
CR000087,SET000089,18810,2026-08-13T21:00:00
CR000088,SET000090,35237,2026-09-03T10:00:00
CR000089,SET000091,16528,2026-09-02T23:00:00
CR000090,SET000092,23063,2026-08-22T05:00:00
CR000091,SET000093,28880,2026-08-27T12:00:00
CR000092,SET000094,24377,2026-08-07T00:00:00
CR000093,SET000095,5445,2026-08-21T12:00:00
CR000094,SET000096,8938,2026-08-22T19:00:00
CR000095,SET000097,21816,2026-08-23T00:00:00
CR000096,SET000098,43461,2026-08-06T17:00:00
CR000097,SET000099,20205,2026-09-04T11:00:00
CR000098,SET000100,28444,2026-08-09T17:00:00
CR000099,SET000101,29227,2026-08-13T19:00:00
CR000100,SET000102,11817,2026-08-23T12:00:00
CR000101,SET000103,15982,2026-08-26T00:00:00
CR000102,SET000104,3391,2026-08-09T13:00:00
CR000103,SET000105,41216,2026-08-19T05:00:00
CR000104,SET000106,10405,2026-09-04T09:00:00
CR000105,SET000107,12057,2026-08-13T12:00:00
CR000106,SET000108,16897,2026-08-30T10:00:00
CR000107,SET000109,30664,2026-08-11T18:00:00
CR000108,SET000110,29254,2026-08-14T02:00:00
CR000109,SET000111,35982,2026-08-28T20:00:00
CR000110,SET000112,16773,2026-08-23T19:00:00
CR000111,SET000113,18521,2026-08-23T10:00:00
CR000112,SET000114,21403,2026-09-01T04:00:00
CR000113,SET000115,25449,2026-08-26T11:00:00
CR000114,SET000116,22117,2026-08-17T21:00:00
CR000115,SET000117,27820,2026-08-10T16:00:00
CR000116,SET000118,37759,2026-09-04T08:00:00
CR000117,SET000119,25894,2026-08-17T17:00:00
CR000118,SET000120,18415,2026-09-03T09:00:00
CR000119,SET000121,44370,2026-08-28T13:00:00
CR000120,SET000122,40735,2026-08-18T19:00:00
CR000121,SET000123,24530,2026-08-27T20:00:00
CR000122,SET000124,19165,2026-08-21T05:00:00
CR000123,SET000125,27191,2026-08-15T13:00:00
CR000124,SET000126,4303,2026-08-20T16:00:00
CR000125,SET000127,42062,2026-08-25T01:00:00
CR000126,SET000128,38558,2026-08-15T10:00:00
CR000127,SET000129,14902,2026-08-24T16:00:00
CR000128,SET000130,39776,2026-08-30T17:00:00
CR000129,SET000131,7882,2026-08-22T07:00:00
CR000130,SET000132,42635,2026-08-31T06:00:00
CR000131,SET000133,39339,2026-08-11T11:00:00
CR000132,SET000134,28348,2026-09-01T16:00:00
CR000133,SET000135,27814,2026-08-31T02:00:00
CR000134,SET000136,41587,2026-08-16T00:00:00
CR000135,SET000137,34313,2026-08-24T02:00:00
CR000136,SET000138,31805,2026-08-25T03:00:00
CR000137,SET000139,25923,2026-08-11T07:00:00
CR000138,SET000140,32559,2026-08-27T20:00:00
CR000139,SET000141,17482,2026-08-10T04:00:00
CR000140,SET000142,33986,2026-08-31T23:00:00
CR000141,SET000143,32194,2026-08-25T08:00:00
CR000142,SET000144,32337,2026-09-03T21:00:00
CR000143,SET000145,26814,2026-08-22T13:00:00
CR000144,SET000146,34899,2026-08-12T03:00:00
CR000145,SET000147,27858,2026-08-25T18:00:00
CR000146,SET000148,19571,2026-08-27T10:00:00
CR000147,SET000149,18642,2026-08-13T05:00:00
CR000148,SET000150,11850,2026-08-27T23:00:00
CR000149,SET000151,34683,2026-09-02T07:00:00
CR000150,SET000152,9043,2026-08-14T16:00:00
CR000151,SET000153,33685,2026-08-16T19:00:00
CR000152,SET000154,3719,2026-08-30T18:00:00
CR000153,SET000155,5709,2026-09-02T08:00:00
CR000154,SET000156,36939,2026-08-31T23:00:00
CR000155,SET000157,27568,2026-08-09T05:00:00
CR000156,SET000158,25279,2026-08-16T17:00:00
CR000157,SET000159,28375,2026-08-09T03:00:00
CR000158,SET000160,7315,2026-08-26T18:00:00
CR000159,SET000161,5757,2026-08-12T01:00:00
CR000160,SET000162,27078,2026-08-10T06:00:00
CR000161,SET000163,14558,2026-08-16T06:00:00
CR000162,SET000164,17878,2026-08-08T22:00:00
CR000163,SET000165,34501,2026-08-24T06:00:00
CR000164,SET000166,11577,2026-08-10T05:00:00
CR000165,SET000167,30923,2026-08-18T10:00:00
CR000166,SET000168,32527,2026-08-10T02:00:00
CR000167,SET000169,21570,2026-09-03T12:00:00
CR000168,SET000170,44060,2026-08-11T01:00:00
CR000169,SET000171,43932,2026-08-11T00:00:00
CR000170,SET000172,12169,2026-08-07T19:00:00
CR000171,SET000173,12572,2026-08-17T00:00:00
CR000172,SET000174,31007,2026-08-21T09:00:00
CR000173,SET000175,11250,2026-08-14T11:00:00
CR000174,SET000176,26563,2026-08-12T03:00:00
CR000175,SET000177,20073,2026-08-18T09:00:00
CR000176,SET000178,35645,2026-09-02T07:00:00
CR000177,SET000179,40759,2026-08-08T22:00:00
CR000178,SET000180,13395,2026-08-23T08:00:00
CR000179,SET000181,26736,2026-08-09T15:00:00
CR000180,SET000182,20831,2026-08-12T01:00:00
CR000181,SET000183,8224,2026-08-30T14:00:00
CR000182,SET000184,42235,2026-08-17T21:00:00
CR000183,SET000185,16549,2026-08-29T10:00:00
CR000184,SET000186,39273,2026-08-29T19:00:00
CR000185,SET000187,27488,2026-08-13T23:00:00
CR000186,SET000188,19047,2026-08-10T13:00:00
CR000187,SET000189,29508,2026-08-20T21:00:00
CR000188,SET000190,35699,2026-08-21T21:00:00
CR000189,SET000191,16234,2026-08-25T15:00:00
CR000190,SET000192,31196,2026-08-19T08:00:00
CR000191,SET000193,42636,2026-08-14T11:00:00
CR000192,SET000194,38686,2026-08-31T08:00:00
CR000193,SET000195,28941,2026-08-18T03:00:00
CR000194,SET000196,17909,2026-08-18T15:00:00
CR000195,SET000197,44064,2026-08-19T09:00:00
CR000196,SET000198,32153,2026-09-03T02:00:00
CR000197,SET000199,44706,2026-08-25T22:00:00
CR000198,SET000200,7265,2026-08-31T08:00:00
CR000199,SET000201,20110,2026-09-02T15:00:00
CR000200,SET000202,19720,2026-08-17T05:00:00
CR000201,SET000203,27304,2026-08-27T22:00:00
CR000202,SET000204,39919,2026-08-09T04:00:00
CR000203,SET000205,34410,2026-08-08T09:00:00
CR000204,SET000206,35912,2026-08-23T08:00:00
CR000205,SET000207,23055,2026-08-22T20:00:00
CR000206,SET000208,30165,2026-08-27T03:00:00
CR000207,SET000209,6568,2026-08-20T07:00:00
CR000208,SET000210,16390,2026-08-07T12:00:00
CR000209,SET000211,37136,2026-09-02T12:00:00
CR000210,SET000212,19262,2026-08-25T19:00:00
CR000211,SET000213,13124,2026-08-06T16:00:00
CR000212,SET000214,41068,2026-08-22T10:00:00
CR000213,SET000215,24288,2026-08-31T18:00:00
CR000214,SET000216,26392,2026-08-12T14:00:00
CR000215,SET000217,18389,2026-08-24T15:00:00
CR000216,SET000218,19833,2026-08-21T04:00:00
CR000217,SET000219,5273,2026-08-06T18:00:00
CR000218,SET000220,36586,2026-08-18T18:00:00
CR000219,SET000221,8872,2026-08-06T22:00:00
CR000220,SET000222,41776,2026-08-31T00:00:00
CR000221,SET000223,40562,2026-08-11T16:00:00
CR000222,SET000224,15119,2026-08-08T12:00:00
CR000223,SET000225,20284,2026-08-30T15:00:00
CR000224,SET000226,3352,2026-08-14T14:00:00
CR000225,SET000227,31556,2026-08-19T19:00:00
CR000226,SET000228,10847,2026-08-07T16:00:00
CR000227,SET000229,40313,2026-08-23T16:00:00
CR000228,SET000230,14857,2026-08-25T13:00:00
CR000229,SET000231,44787,2026-08-08T02:00:00
CR000230,SET000232,18053,2026-08-16T05:00:00
CR000231,SET000233,41978,2026-09-03T17:00:00
CR000232,SET000234,16538,2026-08-11T12:00:00
CR000233,SET000235,34568,2026-08-25T16:00:00
CR000234,SET000236,31975,2026-08-29T10:00:00
CR000235,SET000237,11969,2026-08-30T00:00:00
CR000236,SET000238,16178,2026-09-03T22:00:00
CR000237,SET000239,9074,2026-08-13T04:00:00
CR000238,SET000240,31406,2026-08-20T04:00:00
CR000239,SET000241,15131,2026-09-02T18:00:00
CR000240,SET000242,2425,2026-08-18T11:00:00
CR000241,SET000243,32301,2026-08-16T16:00:00
CR000242,SET000244,21556,2026-09-01T19:00:00
CR000243,SET000245,41427,2026-08-21T18:00:00
CR000244,SET000246,30685,2026-08-09T19:00:00
CR000245,SET000247,36733,2026-08-26T10:00:00
CR000246,SET000248,15575,2026-08-16T06:00:00
CR000247,SET000249,7050,2026-08-22T06:00:00
CR000248,SET000250,10728,2026-08-15T09:00:00
CR000249,SET000251,6182,2026-08-19T17:00:00
CR000250,SET000252,38448,2026-08-11T15:00:00
CR000251,SET000253,27224,2026-08-07T05:00:00
CR000252,SET000254,4262,2026-08-10T00:00:00
CR000253,SET000255,37903,2026-08-29T00:00:00
CR000254,SET000256,7890,2026-08-11T21:00:00
CR000255,SET000257,18775,2026-08-17T07:00:00
CR000256,SET000258,43008,2026-08-24T05:00:00
CR000257,SET000259,45876,2026-08-21T03:00:00
CR000258,SET000260,2391,2026-08-23T13:00:00
CR000259,SET000261,41433,2026-08-31T17:00:00
CR000260,SET000262,29961,2026-08-19T20:00:00
CR000261,SET000263,37242,2026-09-02T09:00:00
CR000262,SET000264,39067,2026-08-24T00:00:00
CR000263,SET000265,32007,2026-08-17T22:00:00
CR000264,SET000266,30141,2026-08-30T21:00:00
CR000265,SET000267,38875,2026-08-07T03:00:00
CR000266,SET000268,26230,2026-09-02T06:00:00
CR000267,SET000269,14472,2026-08-24T17:00:00
CR000268,SET000270,1468,2026-08-17T06:00:00
CR000269,SET000271,35005,2026-08-14T06:00:00
CR000270,SET000272,3678,2026-08-16T00:00:00
CR000271,SET000273,37763,2026-08-18T08:00:00
CR000272,SET000274,24145,2026-08-28T07:00:00
CR000273,SET000275,23179,2026-08-25T05:00:00
CR000274,SET000276,31863,2026-08-21T03:00:00
CR000275,SET000277,11201,2026-08-12T23:00:00
CR000276,SET000278,23299,2026-08-08T02:00:00
CR000277,SET000279,9572,2026-08-09T22:00:00
CR000278,SET000280,34715,2026-08-15T19:00:00
CR000279,SET000281,37044,2026-08-08T23:00:00
CR000280,SET000282,41052,2026-08-16T20:00:00
CR000281,SET000283,41318,2026-08-23T21:00:00
CR000282,SET000284,5716,2026-08-16T08:00:00
CR000283,SET000285,15729,2026-08-31T18:00:00
CR000284,SET000286,36393,2026-09-02T20:00:00
CR000285,SET000287,37503,2026-08-21T21:00:00
CR000286,SET000288,4928,2026-08-20T23:00:00
CR000287,SET000289,10157,2026-08-16T21:00:00
CR000288,SET000290,19050,2026-08-21T04:00:00
CR000289,SET000291,42336,2026-08-21T13:00:00
CR000290,SET000292,20687,2026-08-29T05:00:00
CR000291,SET000293,37597,2026-08-22T09:00:00
CR000292,SET000294,46268,2026-08-22T09:00:00
CR000293,SET000295,21963,2026-08-07T00:00:00
CR000294,SET000296,28029,2026-09-03T20:00:00
CR000295,SET000297,14661,2026-08-14T21:00:00
CR000296,SET000298,9110,2026-08-31T07:00:00
CR000297,SET000299,34243,2026-08-29T01:00:00
CR000298,SET000300,45246,2026-08-28T13:00:00
CR000299,SET000301,24253,2026-08-25T11:00:00
CR000300,SET000302,27651,2026-08-22T10:00:00
CR000301,SET000303,13372,2026-08-11T06:00:00
CR000302,SET000304,18980,2026-08-14T04:00:00
CR000303,SET000305,13735,2026-08-29T17:00:00
CR000304,SET000306,31683,2026-08-11T23:00:00
CR000305,SET000307,33940,2026-08-23T11:00:00
CR000306,SET000308,18405,2026-08-13T17:00:00
CR000307,SET000309,6835,2026-08-26T03:00:00
CR000308,SET000310,2678,2026-08-18T17:00:00
CR000309,SET000311,6189,2026-09-03T10:00:00
CR000310,SET000312,46642,2026-08-29T09:00:00
CR000311,SET000313,31163,2026-08-29T16:00:00
CR000312,SET000314,1310,2026-09-03T19:00:00
CR000313,SET000315,10528,2026-08-09T15:00:00
CR000314,SET000316,18835,2026-09-02T14:00:00
CR000315,SET000317,40771,2026-08-30T21:00:00
CR000316,SET000318,2025,2026-08-11T02:00:00
CR000317,SET000319,19586,2026-08-09T09:00:00
CR000318,SET000320,22068,2026-08-31T23:00:00
CR000319,SET000321,34588,2026-08-13T23:00:00
CR000320,SET000322,27796,2026-08-19T16:00:00
CR000321,SET000323,23792,2026-08-20T21:00:00
CR000322,SET000324,35622,2026-08-29T22:00:00
CR000323,SET000325,22607,2026-08-28T03:00:00
CR000324,SET000326,31552,2026-08-29T20:00:00
CR000325,SET000327,28518,2026-09-02T18:00:00
CR000326,SET000328,21140,2026-08-13T15:00:00
CR000327,SET000329,35673,2026-09-03T01:00:00
CR000328,SET000330,4028,2026-08-21T11:00:00
CR000329,SET000331,24490,2026-08-18T13:00:00
CR000330,SET000332,25680,2026-08-27T15:00:00
CR000331,SET000333,24448,2026-08-13T11:00:00
CR000332,SET000334,23115,2026-08-27T22:00:00
CR000333,SET000335,6091,2026-08-23T00:00:00
CR000334,SET000336,24516,2026-08-20T15:00:00
CR000335,SET000337,23502,2026-08-17T01:00:00
CR000336,SET000338,3938,2026-08-18T07:00:00
CR000337,SET000339,43827,2026-08-29T12:00:00
CR000338,SET000340,4471,2026-08-20T04:00:00
CR000339,SET000341,3044,2026-08-06T15:00:00
CR000340,SET000342,24745,2026-09-01T08:00:00
CR000341,SET000343,26408,2026-08-23T17:00:00
CR000342,SET000344,2631,2026-08-14T07:00:00
CR000343,SET000345,7916,2026-08-16T14:00:00
CR000344,SET000346,19222,2026-08-14T16:00:00
CR000345,SET000347,5707,2026-08-16T15:00:00
CR000346,SET000348,21395,2026-09-01T20:00:00
CR000347,SET000349,11039,2026-08-08T09:00:00
CR000348,SET000350,31786,2026-08-29T16:00:00
CR000349,SET000351,2654,2026-08-11T04:00:00
CR000350,SET000352,28930,2026-08-31T22:00:00
CR000351,SET000353,46784,2026-08-13T04:00:00
CR000352,SET000354,35062,2026-08-08T05:00:00
CR000353,SET000355,44432,2026-08-30T03:00:00
CR000354,SET000356,9220,2026-09-02T06:00:00
CR000355,SET000357,17714,2026-08-26T00:00:00
CR000356,SET000358,34131,2026-09-01T06:00:00
CR000357,SET000359,31002,2026-08-22T16:00:00
CR000358,SET000360,11750,2026-08-10T20:00:00
CR000359,SET000361,40877,2026-08-09T19:00:00
CR000360,SET000362,29862,2026-09-03T09:00:00
CR000361,SET000363,41962,2026-08-24T07:00:00
CR000362,SET000364,27593,2026-09-03T07:00:00
CR000363,SET000365,33311,2026-08-15T00:00:00
CR000364,SET000366,44744,2026-08-16T06:00:00
CR000365,SET000367,11075,2026-08-14T23:00:00
CR000366,SET000368,32632,2026-08-22T00:00:00
CR000367,SET000369,9330,2026-08-13T15:00:00
CR000368,SET000370,27048,2026-08-25T01:00:00
CR000369,SET000371,19519,2026-08-09T08:00:00
CR000370,SET000372,11180,2026-08-10T23:00:00
CR000371,SET000373,11156,2026-08-13T15:00:00
CR000372,SET000374,20690,2026-08-31T18:00:00
CR000373,SET000375,14861,2026-09-02T13:00:00
CR000374,SET000376,39154,2026-08-07T17:00:00
CR000375,SET000377,1496,2026-08-17T05:00:00
CR000376,SET000378,24347,2026-08-20T00:00:00
CR000377,SET000379,37414,2026-08-20T03:00:00
CR000378,SET000380,33195,2026-08-12T03:00:00
CR000379,SET000381,40798,2026-08-30T13:00:00
CR000380,SET000382,26144,2026-08-21T03:00:00
CR000381,SET000383,13694,2026-08-18T11:00:00
CR000382,SET000384,9730,2026-08-15T09:00:00
CR000383,SET000385,28842,2026-08-22T00:00:00
CR000384,SET000386,40367,2026-08-22T20:00:00
CR000385,SET000387,33544,2026-08-11T14:00:00
CR000386,SET000388,2038,2026-08-06T21:00:00
CR000387,SET000389,38272,2026-08-08T18:00:00
CR000388,SET000390,17941,2026-08-10T22:00:00
CR000389,SET000391,38260,2026-08-13T06:00:00
CR000390,SET000392,42622,2026-08-27T11:00:00
CR000391,SET000393,26014,2026-08-18T02:00:00
CR000392,SET000394,4954,2026-08-13T11:00:00
CR000393,SET000395,43289,2026-08-19T13:00:00
CR000394,SET000396,30346,2026-08-21T00:00:00
CR000395,SET000397,44473,2026-08-24T08:00:00
CR000396,SET000398,15454,2026-08-26T00:00:00
CR000397,SET000399,37955,2026-08-22T02:00:00
CR000398,SET000400,16050,2026-08-06T18:00:00
CR000399,SET000401,26185,2026-08-29T09:00:00
CR000400,SET000402,39309,2026-08-07T15:00:00
CR000401,SET000403,12392,2026-08-24T01:00:00
CR000402,SET000404,40315,2026-08-25T09:00:00
CR000403,SET000405,32950,2026-09-02T09:00:00
CR000404,SET000406,24796,2026-08-29T18:00:00
CR000405,SET000407,11066,2026-08-15T07:00:00
CR000406,SET000408,19329,2026-08-08T01:00:00
CR000407,SET000409,6691,2026-08-25T17:00:00
CR000408,SET000410,12162,2026-08-28T02:00:00
CR000409,SET000411,26342,2026-08-27T16:00:00
CR000410,SET000412,1463,2026-08-21T07:00:00
CR000411,SET000413,41953,2026-08-14T13:00:00
CR000412,SET000414,29909,2026-08-21T12:00:00
CR000413,SET000415,39299,2026-09-04T00:00:00
CR000414,SET000416,37255,2026-08-27T09:00:00
CR000415,SET000417,41788,2026-08-17T09:00:00
CR000416,SET000418,41386,2026-08-15T06:00:00
CR000417,SET000419,1301,2026-08-16T13:00:00
CR000418,SET000420,20268,2026-08-11T04:00:00
CR000419,SET000421,23949,2026-09-01T23:00:00
CR000420,SET000422,11181,2026-08-14T04:00:00
CR000421,SET000423,41787,2026-08-23T00:00:00
CR000422,SET000424,14976,2026-08-15T05:00:00
CR000423,SET000425,39680,2026-08-12T04:00:00
CR000424,SET000426,43409,2026-08-25T01:00:00
CR000425,SET000427,34724,2026-09-01T07:00:00
CR000426,SET000428,35968,2026-08-26T23:00:00
CR000427,SET000429,34223,2026-08-06T14:00:00
CR000428,SET000430,27979,2026-08-16T14:00:00
CR000429,SET000431,33770,2026-08-11T13:00:00
CR000430,SET000432,43963,2026-09-03T16:00:00
CR000431,SET000433,1167,2026-08-10T22:00:00
CR000432,SET000434,22989,2026-08-12T12:00:00
CR000433,SET000435,5385,2026-08-15T11:00:00
CR000434,SET000436,12475,2026-08-08T06:00:00
CR000435,SET000437,25415,2026-08-19T12:00:00
CR000436,SET000438,43262,2026-08-29T22:00:00
CR000437,SET000439,35304,2026-08-30T04:00:00
CR000438,SET000440,2427,2026-08-15T20:00:00
CR000439,SET000441,14183,2026-08-29T00:00:00
CR000440,SET000442,6783,2026-08-17T17:00:00
CR000441,SET000443,5156,2026-08-16T13:00:00
CR000442,SET000444,3802,2026-08-25T15:00:00
CR000443,SET000445,4236,2026-08-25T15:00:00
CR000444,SET000446,43948,2026-08-25T12:00:00
CR000445,SET000447,43161,2026-08-17T23:00:00
CR000446,SET000448,36548,2026-08-28T03:00:00
CR000447,SET000449,3971,2026-08-08T04:00:00
CR000448,SET000450,21341,2026-08-18T04:00:00
CR000449,SET000451,12724,2026-08-15T10:00:00
CR000450,SET000452,20191,2026-08-29T11:00:00
CR000451,SET000453,36910,2026-08-17T20:00:00
CR000452,SET000454,14570,2026-09-01T06:00:00
CR000453,SET000455,6883,2026-08-27T11:00:00
CR000454,SET000456,44020,2026-09-02T22:00:00
CR000455,SET000457,38519,2026-08-11T18:00:00
CR000456,SET000458,22251,2026-09-03T23:00:00
CR000457,SET000459,8471,2026-08-15T04:00:00
CR000458,SET000460,41973,2026-08-12T01:00:00
CR000459,SET000461,25298,2026-08-07T22:00:00
CR000460,SET000462,23955,2026-08-14T09:00:00
CR000461,SET000463,30974,2026-08-21T23:00:00
CR000462,SET000464,25561,2026-08-29T09:00:00
CR000463,SET000465,38293,2026-08-17T19:00:00
CR000464,SET000466,19990,2026-08-14T07:00:00
CR000465,SET000467,32197,2026-08-08T05:00:00
CR000466,SET000468,18951,2026-08-14T18:00:00
CR000467,SET000469,35615,2026-09-02T02:00:00
CR000468,SET000470,5725,2026-08-07T02:00:00
CR000469,SET000471,22109,2026-08-25T18:00:00
CR000470,SET000472,1276,2026-08-19T16:00:00
CR000471,SET000473,43579,2026-08-15T00:00:00
CR000472,SET000474,34982,2026-09-04T02:00:00
CR000473,SET000475,18530,2026-08-23T09:00:00
CR000474,SET000476,45565,2026-08-27T23:00:00
CR000475,SET000477,32860,2026-08-09T04:00:00
CR000476,SET000478,18056,2026-09-01T06:00:00
CR000477,SET000479,30303,2026-08-25T23:00:00
CR000478,SET000480,6126,2026-08-07T21:00:00
CR000479,SET000481,25209,2026-08-15T07:00:00
CR000480,SET000482,37646,2026-08-17T02:00:00
CR000481,SET000483,7068,2026-09-02T19:00:00
CR000482,SET000484,45210,2026-08-15T08:00:00
CR000483,SET000485,5726,2026-08-23T15:00:00
CR000484,SET000486,19323,2026-08-10T13:00:00
CR000485,SET000487,46515,2026-09-01T08:00:00
CR000486,SET000488,16340,2026-08-19T00:00:00
CR000487,SET000489,9917,2026-09-01T06:00:00
CR000488,SET000490,28232,2026-08-21T02:00:00
CR000489,SET000491,19540,2026-08-16T09:00:00
CR000490,SET000492,36312,2026-08-17T04:00:00
CR000491,SET000493,43190,2026-08-09T05:00:00
CR000492,SET000494,42100,2026-08-29T01:00:00
CR000493,SET000495,35046,2026-08-22T02:00:00
CR000494,SET000496,1306,2026-08-16T15:00:00
CR000495,SET000497,7074,2026-08-17T05:00:00
CR000496,SET000498,33718,2026-09-03T12:00:00
CR000497,SET000499,6922,2026-08-21T18:00:00
CR000498,SET000500,27416,2026-09-01T00:00:00
CR000499,SET000501,11810,2026-08-28T09:00:00
CR000500,SET000502,18125,2026-09-01T22:00:00
CR000501,SET000503,27202,2026-08-20T05:00:00
CR000502,SET000504,40913,2026-08-09T07:00:00
CR000503,SET000505,9632,2026-08-18T17:00:00
CR000504,SET000506,25249,2026-08-21T13:00:00
CR000505,SET000507,42575,2026-08-29T19:00:00
CR000506,SET000508,40205,2026-08-28T01:00:00
CR000507,SET000509,19598,2026-08-08T14:00:00
CR000508,SET000510,16465,2026-08-23T15:00:00
CR000509,SET000511,32484,2026-08-27T22:00:00
CR000510,SET000512,30471,2026-08-26T16:00:00
CR000511,SET000513,38492,2026-08-06T21:00:00
CR000512,SET000514,19013,2026-08-17T13:00:00
CR000513,SET000515,39181,2026-08-18T12:00:00
CR000514,SET000516,23948,2026-08-12T17:00:00
CR000515,SET000517,16837,2026-08-20T11:00:00
CR000516,SET000518,3805,2026-08-08T02:00:00
CR000517,SET000519,22162,2026-08-17T06:00:00
CR000518,SET000520,14398,2026-08-13T11:00:00
CR000519,SET000521,25967,2026-08-06T15:00:00
CR000520,SET000522,2544,2026-08-23T00:00:00
CR000521,SET000523,6120,2026-08-20T18:00:00
CR000522,SET000524,14193,2026-08-20T18:00:00
CR000523,SET000525,45497,2026-09-01T18:00:00
CR000524,SET000526,40721,2026-08-07T23:00:00
CR000525,SET000527,11477,2026-08-25T05:00:00
CR000526,SET000528,22124,2026-08-15T21:00:00
CR000527,SET000529,34085,2026-08-18T17:00:00
CR000528,SET000530,13582,2026-08-17T07:00:00
CR000529,SET000531,32560,2026-08-27T05:00:00
CR000530,SET000532,43831,2026-08-13T02:00:00
CR000531,SET000533,40036,2026-08-30T18:00:00
CR000532,SET000534,30231,2026-08-06T21:00:00
CR000533,SET000535,37538,2026-08-22T06:00:00
CR000534,SET000536,6978,2026-08-29T14:00:00
CR000535,SET000537,9784,2026-08-17T13:00:00
CR000536,SET000538,35312,2026-08-08T02:00:00
CR000537,SET000539,30680,2026-08-22T04:00:00
