fee_id,payment_id,fee_amt,tax_amt
FEE000087,PAY000089,623,156
FEE000088,PAY000090,273,68
FEE000089,PAY000091,386,96
FEE000090,PAY000092,723,181
FEE000091,PAY000093,362,91
FEE000092,PAY000094,473,118
FEE000093,PAY000095,690,173
FEE000094,PAY000096,592,148
FEE000095,PAY000097,112,28
FEE000096,PAY000098,183,46
FEE000097,PAY000099,448,112
FEE000098,PAY000100,892,223
FEE000099,PAY000101,414,104
FEE000100,PAY000102,583,146
FEE000101,PAY000103,600,150
FEE000102,PAY000104,242,61
FEE000103,PAY000105,328,82
FEE000104,PAY000106,81,20
FEE000105,PAY000107,845,211
FEE000106,PAY000108,213,53
FEE000107,PAY000109,307,77
FEE000108,PAY000110,347,87
FEE000109,PAY000111,629,157
FEE000110,PAY000112,600,150
FEE000111,PAY000113,738,185
FEE000112,PAY000114,344,86
FEE000113,PAY000115,380,95
FEE000114,PAY000116,439,110
FEE000115,PAY000117,522,131
FEE000116,PAY000118,454,113
FEE000117,PAY000119,571,143
FEE000118,PAY000120,775,194
FEE000119,PAY000121,531,133
FEE000120,PAY000122,378,94
FEE000121,PAY000123,910,228
FEE000122,PAY000124,836,209
FEE000123,PAY000125,582,145
FEE000124,PAY000126,449,112
FEE000125,PAY000127,573,143
FEE000126,PAY000128,88,22
FEE000127,PAY000129,874,219
FEE000128,PAY000130,834,209
FEE000129,PAY000131,306,76
FEE000130,PAY000132,816,204
FEE000131,PAY000133,162,40
FEE000132,PAY000134,957,239
FEE000133,PAY000135,807,202
FEE000134,PAY000136,581,145
FEE000135,PAY000137,571,143
FEE000136,PAY000138,853,213
FEE000137,PAY000139,704,176
FEE000138,PAY000140,797,199
FEE000139,PAY000141,611,153
FEE000140,PAY000142,668,167
FEE000141,PAY000143,359,90
FEE000142,PAY000144,697,174
FEE000143,PAY000145,660,165
FEE000144,PAY000146,663,166
FEE000145,PAY000147,550,138
FEE000146,PAY000148,716,179
FEE000147,PAY000149,615,154
FEE000148,PAY000150,434,108
FEE000149,PAY000151,382,96
FEE000150,PAY000152,274,69
FEE000151,PAY000153,720,180
FEE000152,PAY000154,186,46
FEE000153,PAY000155,772,193
FEE000154,PAY000156,87,22
FEE000155,PAY000157,117,29
FEE000156,PAY000158,758,189
FEE000157,PAY000159,565,141
FEE000158,PAY000160,519,130
FEE000159,PAY000161,582,146
FEE000160,PAY000162,150,38
FEE000161,PAY000163,126,32
FEE000162,PAY000164,555,139
FEE000163,PAY000165,323,81
FEE000164,PAY000166,367,92
FEE000165,PAY000167,734,183
FEE000166,PAY000168,237,59
FEE000167,PAY000169,634,159
FEE000168,PAY000170,667,167
FEE000169,PAY000171,442,111
FEE000170,PAY000172,904,226
FEE000171,PAY000173,901,225
FEE000172,PAY000174,250,62
FEE000173,PAY000175,258,64
FEE000174,PAY000176,636,159
FEE000175,PAY000177,231,58
FEE000176,PAY000178,545,136
FEE000177,PAY000179,432,108
FEE000178,PAY000180,731,183
FEE000179,PAY000181,836,209
FEE000180,PAY000182,287,72
FEE000181,PAY000183,655,164
FEE000182,PAY000184,427,107
FEE000183,PAY000185,169,42
FEE000184,PAY000186,959,240
FEE000185,PAY000187,339,85
FEE000186,PAY000188,806,201
FEE000187,PAY000189,564,141
FEE000188,PAY000190,391,98
FEE000189,PAY000191,605,151
FEE000190,PAY000192,732,183
FEE000191,PAY000193,333,83
FEE000192,PAY000194,640,160
FEE000193,PAY000195,875,219
FEE000194,PAY000196,794,198
FEE000195,PAY000197,619,155
FEE000196,PAY000198,367,92
FEE000197,PAY000199,904,226
FEE000198,PAY000200,660,165
FEE000199,PAY000201,917,229
FEE000200,PAY000202,149,37
FEE000201,PAY000203,412,103
FEE000202,PAY000204,405,101
FEE000203,PAY000205,560,140
FEE000204,PAY000206,819,205
FEE000205,PAY000207,784,196
FEE000206,PAY000208,894,224
FEE000207,PAY000209,473,118
FEE000208,PAY000210,619,155
FEE000209,PAY000211,160,40
FEE000210,PAY000212,407,102
FEE000211,PAY000213,762,190
FEE000212,PAY000214,395,99
FEE000213,PAY000215,269,67
FEE000214,PAY000216,842,211
FEE000215,PAY000217,498,125
FEE000216,PAY000218,565,141
FEE000217,PAY000219,377,94
FEE000218,PAY000220,407,102
FEE000219,PAY000221,119,30
FEE000220,PAY000222,750,188
FEE000221,PAY000223,182,45
FEE000222,PAY000224,857,214
FEE000223,PAY000225,832,208
FEE000224,PAY000226,310,78
FEE000225,PAY000227,416,104
FEE000226,PAY000228,69,17
FEE000227,PAY000229,725,181
FEE000228,PAY000230,223,56
FEE000229,PAY000231,827,207
FEE000230,PAY000232,305,76
FEE000231,PAY000233,919,230
FEE000232,PAY000234,382,95
FEE000233,PAY000235,861,215
FEE000234,PAY000236,339,85
FEE000235,PAY000237,746,187
FEE000236,PAY000238,801,200
FEE000237,PAY000239,249,62
FEE000238,PAY000240,332,83
FEE000239,PAY000241,186,47
FEE000240,PAY000242,644,161
FEE000241,PAY000243,310,78
FEE000242,PAY000244,61,15
FEE000243,PAY000245,663,166
FEE000244,PAY000246,442,111
FEE000245,PAY000247,850,212
FEE000246,PAY000248,715,179
FEE000247,PAY000249,940,235
FEE000248,PAY000250,319,80
FEE000249,PAY000251,145,36
FEE000250,PAY000252,220,55
FEE000251,PAY000253,132,33
FEE000252,PAY000254,789,197
FEE000253,PAY000255,558,140
FEE000254,PAY000256,87,22
FEE000255,PAY000257,777,194
FEE000256,PAY000258,162,40
FEE000257,PAY000259,385,96
FEE000258,PAY000260,882,221
FEE000259,PAY000261,941,235
FEE000260,PAY000262,67,17
FEE000261,PAY000263,850,212
FEE000262,PAY000264,615,154
FEE000263,PAY000265,764,191
FEE000264,PAY000266,830,207
FEE000265,PAY000267,657,164
FEE000266,PAY000268,692,173
FEE000267,PAY000269,797,199
FEE000268,PAY000270,538,135
FEE000269,PAY000271,297,74
FEE000270,PAY000272,30,8
FEE000271,PAY000273,718,180
FEE000272,PAY000274,75,19
FEE000273,PAY000275,775,194
FEE000274,PAY000276,551,138
FEE000275,PAY000277,494,124
FEE000276,PAY000278,707,177
FEE000277,PAY000279,240,60
FEE000278,PAY000280,478,119
FEE000279,PAY000281,212,53
FEE000280,PAY000282,879,220
FEE000281,PAY000283,760,190
FEE000282,PAY000284,842,211
FEE000283,PAY000285,848,212
FEE000284,PAY000286,117,29
FEE000285,PAY000287,396,99
FEE000286,PAY000288,747,187
FEE000287,PAY000289,769,192
FEE000288,PAY000290,101,25
FEE000289,PAY000291,246,62
FEE000290,PAY000292,391,98
FEE000291,PAY000293,868,217
FEE000292,PAY000294,527,132
FEE000293,PAY000295,890,222
FEE000294,PAY000296,949,237
FEE000295,PAY000297,451,113
FEE000296,PAY000298,575,144
FEE000297,PAY000299,301,75
FEE000298,PAY000300,200,50
FEE000299,PAY000301,830,208
FEE000300,PAY000302,928,232
FEE000301,PAY000303,497,124
FEE000302,PAY000304,608,152
FEE000303,PAY000305,274,69
FEE000304,PAY000306,389,97
FEE000305,PAY000307,282,70
FEE000306,PAY000308,650,162
FEE000307,PAY000309,696,174
FEE000308,PAY000310,378,94
FEE000309,PAY000311,140,35
FEE000310,PAY000312,55,14
FEE000311,PAY000313,127,32
FEE000312,PAY000314,957,239
FEE000313,PAY000315,639,160
FEE000314,PAY000316,27,7
FEE000315,PAY000317,216,54
FEE000316,PAY000318,398,99
FEE000317,PAY000319,836,209
FEE000318,PAY000320,42,10
FEE000319,PAY000321,402,100
FEE000320,PAY000322,566,142
FEE000321,PAY000323,710,177
FEE000322,PAY000324,636,159
FEE000323,PAY000325,488,122
FEE000324,PAY000326,843,211
FEE000325,PAY000327,464,116
FEE000326,PAY000328,647,162
FEE000327,PAY000329,620,155
FEE000328,PAY000330,434,108
FEE000329,PAY000331,732,183
FEE000330,PAY000332,83,21
FEE000331,PAY000333,502,126
FEE000332,PAY000334,527,132
FEE000333,PAY000335,501,125
FEE000334,PAY000336,576,144
FEE000335,PAY000337,125,31
FEE000336,PAY000338,578,145
FEE000337,PAY000339,482,121
FEE000338,PAY000340,95,24
FEE000339,PAY000341,910,228
FEE000340,PAY000342,108,27
FEE000341,PAY000343,62,16
FEE000342,PAY000344,508,127
FEE000343,PAY000345,542,135
FEE000344,PAY000346,54,13
FEE000345,PAY000347,174,44
FEE000346,PAY000348,394,99
FEE000347,PAY000349,117,29
FEE000348,PAY000350,439,110
FEE000349,PAY000351,226,57
FEE000350,PAY000352,687,172
FEE000351,PAY000353,54,14
FEE000352,PAY000354,743,186
FEE000353,PAY000355,960,240
FEE000354,PAY000356,774,193
FEE000355,PAY000357,911,228
FEE000356,PAY000358,189,47
FEE000357,PAY000359,419,105
FEE000358,PAY000360,700,175
FEE000359,PAY000361,742,185
FEE000360,PAY000362,241,60
FEE000361,PAY000363,838,210
FEE000362,PAY000364,759,190
FEE000363,PAY000365,861,215
FEE000364,PAY000366,566,142
FEE000365,PAY000367,735,184
FEE000366,PAY000368,918,229
FEE000367,PAY000369,227,57
FEE000368,PAY000370,815,204
FEE000369,PAY000371,191,48
FEE000370,PAY000372,631,158
FEE000371,PAY000373,400,100
FEE000372,PAY000374,229,57
FEE000373,PAY000375,229,57
FEE000374,PAY000376,424,106
FEE000375,PAY000377,336,84
FEE000376,PAY000378,803,201
FEE000377,PAY000379,31,8
FEE000378,PAY000380,499,125
FEE000379,PAY000381,767,192
FEE000380,PAY000382,681,170
FEE000381,PAY000383,837,209
FEE000382,PAY000384,536,134
FEE000383,PAY000385,281,70
FEE000384,PAY000386,200,50
FEE000385,PAY000387,696,174
FEE000386,PAY000388,828,207
FEE000387,PAY000389,688,172
FEE000388,PAY000390,42,10
FEE000389,PAY000391,785,196
FEE000390,PAY000392,368,92
FEE000391,PAY000393,785,196
FEE000392,PAY000394,912,228
FEE000393,PAY000395,569,142
FEE000394,PAY000396,102,25
FEE000395,PAY000397,888,222
FEE000396,PAY000398,622,156
FEE000397,PAY000399,912,228
FEE000398,PAY000400,343,86
FEE000399,PAY000401,944,236
FEE000400,PAY000402,378,95
FEE000401,PAY000403,537,134
FEE000402,PAY000404,956,239
FEE000403,PAY000405,300,75
FEE000404,PAY000406,827,207
FEE000405,PAY000407,716,179
FEE000406,PAY000408,639,160
FEE000407,PAY000409,227,57
FEE000408,PAY000410,396,99
FEE000409,PAY000411,137,34
FEE000410,PAY000412,249,62
FEE000411,PAY000413,540,135
FEE000412,PAY000414,32,8
FEE000413,PAY000415,861,215
FEE000414,PAY000416,633,158
FEE000415,PAY000417,870,217
FEE000416,PAY000418,764,191
FEE000417,PAY000419,857,214
FEE000418,PAY000420,897,224
FEE000419,PAY000421,29,7
FEE000420,PAY000422,416,104
FEE000421,PAY000423,491,123
FEE000422,PAY000424,229,57
FEE000423,PAY000425,857,214
FEE000424,PAY000426,307,77
FEE000425,PAY000427,814,203
FEE000426,PAY000428,890,223
FEE000427,PAY000429,712,178
FEE000428,PAY000430,738,184
FEE000429,PAY000431,702,176
FEE000430,PAY000432,661,165
FEE000431,PAY000433,693,173
FEE000432,PAY000434,902,225
FEE000433,PAY000435,24,6
FEE000434,PAY000436,472,118
FEE000435,PAY000437,110,28
FEE000436,PAY000438,256,64
FEE000437,PAY000439,521,130
FEE000438,PAY000440,887,222
FEE000439,PAY000441,724,181
FEE000440,PAY000442,50,12
FEE000441,PAY000443,321,80
FEE000442,PAY000444,168,42
FEE000443,PAY000445,108,27
FEE000444,PAY000446,78,19
FEE000445,PAY000447,94,23
FEE000446,PAY000448,902,225
FEE000447,PAY000449,885,221
FEE000448,PAY000450,750,187
FEE000449,PAY000451,81,20
FEE000450,PAY000452,438,109
FEE000451,PAY000453,261,65
FEE000452,PAY000454,414,104
FEE000453,PAY000455,757,189
FEE000454,PAY000456,354,89
FEE000455,PAY000457,141,35
FEE000456,PAY000458,903,226
FEE000457,PAY000459,790,198
FEE000458,PAY000460,456,114
FEE000459,PAY000461,174,43
FEE000460,PAY000462,942,236
FEE000461,PAY000463,519,130
FEE000462,PAY000464,491,123
FEE000463,PAY000465,635,159
FEE000464,PAY000466,563,141
FEE000465,PAY000467,786,196
FEE000466,PAY000468,452,113
FEE000467,PAY000469,660,165
FEE000468,PAY000470,482,120
FEE000469,PAY000471,731,183
FEE000470,PAY000472,117,29
FEE000471,PAY000473,561,140
FEE000472,PAY000474,32,8
FEE000473,PAY000475,894,223
FEE000474,PAY000476,718,179
FEE000475,PAY000477,380,95
FEE000476,PAY000478,935,234
FEE000477,PAY000479,707,177
FEE000478,PAY000480,370,93
FEE000479,PAY000481,622,155
FEE000480,PAY000482,126,31
FEE000481,PAY000483,517,129
FEE000482,PAY000484,941,235
FEE000483,PAY000485,145,36
FEE000484,PAY000486,927,232
FEE000485,PAY000487,117,29
FEE000486,PAY000488,432,108
FEE000487,PAY000489,954,239
FEE000488,PAY000490,335,84
FEE000489,PAY000491,203,51
FEE000490,PAY000492,593,148
FEE000491,PAY000493,448,112
FEE000492,PAY000494,745,186
FEE000493,PAY000495,886,221
FEE000494,PAY000496,955,239
FEE000495,PAY000497,851,213
FEE000496,PAY000498,27,7
FEE000497,PAY000499,154,38
FEE000498,PAY000500,692,173
FEE000499,PAY000501,142,35
FEE000500,PAY000502,562,141
FEE000501,PAY000503,242,61
FEE000502,PAY000504,372,93
FEE000503,PAY000505,572,143
FEE000504,PAY000506,839,210
FEE000505,PAY000507,198,49
FEE000506,PAY000508,518,129
FEE000507,PAY000509,873,218
FEE000508,PAY000510,931,233
FEE000509,PAY000511,402,100
FEE000510,PAY000512,338,84
FEE000511,PAY000513,759,190
FEE000512,PAY000514,625,156
FEE000513,PAY000515,928,232
FEE000514,PAY000516,417,104
FEE000515,PAY000517,804,201
FEE000516,PAY000518,491,123
FEE000517,PAY000519,345,86
FEE000518,PAY000520,78,20
FEE000519,PAY000521,455,114
FEE000520,PAY000522,359,90
FEE000521,PAY000523,533,133
FEE000522,PAY000524,52,13
FEE000523,PAY000525,133,33
FEE000524,PAY000526,291,73
FEE000525,PAY000527,933,233
FEE000526,PAY000528,952,238
FEE000527,PAY000529,235,59
FEE000528,PAY000530,454,113
FEE000529,PAY000531,845,211
FEE000530,PAY000532,279,70
FEE000531,PAY000533,87,22
FEE000532,PAY000534,724,181
FEE000533,PAY000535,899,225
FEE000534,PAY000536,821,205
FEE000535,PAY000537,620,155
FEE000536,PAY000538,794,198
FEE000537,PAY000539,173,43
FEE000538,PAY000540,201,50
FEE000539,PAY000541,724,181
FEE000540,PAY000542,662,165
FEE000541,PAY000543,491,123
FEE000542,PAY000544,523,131
FEE000543,PAY000545,664,166
FEE000544,PAY000546,761,190
FEE000545,PAY000547,315,79
FEE000546,PAY000548,669,167
FEE000547,PAY000549,732,183
FEE000548,PAY000550,598,150
FEE000549,PAY000551,877,219
FEE000550,PAY000552,477,119
FEE000551,PAY000553,174,43
FEE000552,PAY000554,791,198
FEE000553,PAY000555,202,51
FEE000554,PAY000556,718,179
FEE000555,PAY000557,404,101
FEE000556,PAY000558,559,140
FEE000557,PAY000559,194,48
FEE000558,PAY000560,906,227
FEE000559,PAY000561,512,128
FEE000560,PAY000562,385,96
FEE000561,PAY000563,449,112
FEE000562,PAY000564,934,233
FEE000563,PAY000565,583,146
FEE000564,PAY000566,392,98
FEE000565,PAY000567,656,164
FEE000566,PAY000568,622,156
FEE000567,PAY000569,86,22
FEE000568,PAY000570,86,22
FEE000569,PAY000571,416,104
FEE000570,PAY000572,507,127
FEE000571,PAY000573,840,210
FEE000572,PAY000574,942,236
FEE000573,PAY000575,316,79
FEE000574,PAY000576,288,72
FEE000575,PAY000577,646,162
FEE000576,PAY000578,502,125
FEE000577,PAY000579,194,49
FEE000578,PAY000580,758,190
FEE000579,PAY000581,299,75
FEE000580,PAY000582,600,150
FEE000581,PAY000583,181,45
FEE000582,PAY000584,432,108
FEE000583,PAY000585,345,86
FEE000584,PAY000586,925,231
FEE000585,PAY000587,407,102
FEE000586,PAY000588,336,84
FEE000587,PAY000589,36,9
FEE000588,PAY000590,765,191
FEE000589,PAY000591,116,29
FEE000590,PAY000592,99,25
FEE000591,PAY000593,677,169
FEE000592,PAY000594,723,181
FEE000593,PAY000595,124,31
FEE000594,PAY000596,532,133
FEE000595,PAY000597,593,148
FEE000596,PAY000598,589,147
FEE000597,PAY000599,883,221
FEE000598,PAY000600,939,235
FEE000599,PAY000601,186,47
FEE000600,PAY000602,58,15
FEE000601,PAY000603,365,91
FEE000602,PAY000604,689,172
FEE000603,PAY000605,354,89
FEE000604,PAY000606,687,172
FEE000605,PAY000607,522,130
FEE000606,PAY000608,956,239
FEE000607,PAY000609,566,141
FEE000608,PAY000610,769,192
FEE000609,PAY000611,696,174
FEE000610,PAY000612,390,98
FEE000611,PAY000613,619,155
FEE000612,PAY000614,338,84
FEE000613,PAY000615,276,69
FEE000614,PAY000616,557,139
FEE000615,PAY000617,22,5
FEE000616,PAY000618,714,179
FEE000617,PAY000619,207,52
FEE000618,PAY000620,701,175
FEE000619,PAY000621,131,33
FEE000620,PAY000622,537,134
FEE000621,PAY000623,191,48
FEE000622,PAY000624,448,112
FEE000623,PAY000625,286,71
FEE000624,PAY000626,609,152
FEE000625,PAY000627,292,73
FEE000626,PAY000628,138,35
FEE000627,PAY000629,450,112
FEE000628,PAY000630,908,227
FEE000629,PAY000631,749,187
FEE000630,PAY000632,203,51
FEE000631,PAY000633,545,136
FEE000632,PAY000634,359,90
FEE000633,PAY000635,279,70
FEE000634,PAY000636,455,114
FEE000635,PAY000637,588,147
FEE000636,PAY000638,916,229
FEE000637,PAY000639,380,95
FEE000638,PAY000640,829,207
FEE000639,PAY000641,648,162
FEE000640,PAY000642,862,216
FEE000641,PAY000643,733,183
FEE000642,PAY000644,655,164
FEE000643,PAY000645,256,64
FEE000644,PAY000646,388,97
FEE000645,PAY000647,325,81
FEE000646,PAY000648,369,92
FEE000647,PAY000649,529,132
FEE000648,PAY000650,437,109
FEE000649,PAY000651,481,120
FEE000650,PAY000652,267,67
FEE000651,PAY000653,70,17
FEE000652,PAY000654,646,162
FEE000653,PAY000655,253,63
FEE000654,PAY000656,789,197
FEE000655,PAY000657,498,125
FEE000656,PAY000658,461,115
FEE000657,PAY000659,593,148
FEE000658,PAY000660,757,189
FEE000659,PAY000661,792,198
FEE000660,PAY000662,406,102
FEE000661,PAY000663,764,191
FEE000662,PAY000664,156,39
FEE000663,PAY000665,332,83
FEE000664,PAY000666,136,34
FEE000665,PAY000667,368,92
FEE000666,PAY000668,162,40
FEE000667,PAY000669,570,143
FEE000668,PAY000670,480,120
FEE000669,PAY000671,778,194
FEE000670,PAY000672,64,16
FEE000671,PAY000673,243,61
FEE000672,PAY000674,142,36
FEE000673,PAY000675,585,146
FEE000674,PAY000676,153,38
FEE000675,PAY000677,728,182
FEE000676,PAY000678,535,134
FEE000677,PAY000679,25,6
FEE000678,PAY000680,54,13
FEE000679,PAY000681,171,43
FEE000680,PAY000682,886,222
FEE000681,PAY000683,504,126
FEE000682,PAY000684,317,79
FEE000683,PAY000685,933,233
FEE000684,PAY000686,563,141
FEE000685,PAY000687,527,132
FEE000686,PAY000688,329,82
FEE000687,PAY000689,956,239
FEE000688,PAY000690,609,152
FEE000689,PAY000691,575,144
FEE000690,PAY000692,842,211
FEE000691,PAY000693,749,187
FEE000692,PAY000694,36,9
FEE000693,PAY000695,216,54
FEE000694,PAY000696,722,181
FEE000695,PAY000697,656,164
FEE000696,PAY000698,548,137
FEE000697,PAY000699,454,114
FEE000698,PAY000700,508,127
FEE000699,PAY000701,932,233
FEE000700,PAY000702,601,150
FEE000701,PAY000703,813,203
FEE000702,PAY000704,554,138
FEE000703,PAY000705,695,174
FEE000704,PAY000706,549,137
FEE000705,PAY000707,283,71
FEE000706,PAY000708,492,123
FEE000707,PAY000709,682,171
FEE000708,PAY000710,661,165
FEE000709,PAY000711,478,120
FEE000710,PAY000712,527,132
FEE000711,PAY000713,908,227
FEE000712,PAY000714,914,229
FEE000713,PAY000715,31,8
FEE000714,PAY000716,513,128
FEE000715,PAY000717,416,104
FEE000716,PAY000718,30,7
FEE000717,PAY000719,798,200
FEE000718,PAY000720,461,115
FEE000719,PAY000721,362,91
FEE000720,PAY000722,698,175
FEE000721,PAY000723,912,228
FEE000722,PAY000724,360,90
FEE000723,PAY000725,784,196
FEE000724,PAY000726,955,239
FEE000725,PAY000727,901,225
FEE000726,PAY000728,752,188
FEE000727,PAY000729,753,188
FEE000728,PAY000730,311,78
FEE000729,PAY000731,454,114
FEE000730,PAY000732,174,44
FEE000731,PAY000733,275,69
FEE000732,PAY000734,561,140
FEE000733,PAY000735,766,192
FEE000734,PAY000736,958,240
FEE000735,PAY000737,252,63
FEE000736,PAY000738,294,74
FEE000737,PAY000739,135,34
FEE000738,PAY000740,646,161
FEE000739,PAY000741,38,10
FEE000740,PAY000742,25,6
FEE000741,PAY000743,471,118
FEE000742,PAY000744,421,105
FEE000743,PAY000745,702,175
FEE000744,PAY000746,195,49
FEE000745,PAY000747,236,59
FEE000746,PAY000748,192,48
FEE000747,PAY000749,952,238
FEE000748,PAY000750,355,89
FEE000749,PAY000751,83,21
FEE000750,PAY000752,172,43
FEE000751,PAY000753,642,160
FEE000752,PAY000754,887,222
FEE000753,PAY000755,158,39
FEE000754,PAY000756,159,40
FEE000755,PAY000757,706,176
FEE000756,PAY000758,72,18
FEE000757,PAY000759,24,6
FEE000758,PAY000760,138,35
FEE000759,PAY000761,865,216
FEE000760,PAY000762,249,62
FEE000761,PAY000763,430,107
FEE000762,PAY000764,80,20
FEE000763,PAY000765,594,148
FEE000764,PAY000766,469,117
FEE000765,PAY000767,526,131
FEE000766,PAY000768,239,60
FEE000767,PAY000769,794,199
FEE000768,PAY000770,518,129
FEE000769,PAY000771,191,48
FEE000770,PAY000772,598,149
FEE000771,PAY000773,909,227
FEE000772,PAY000774,898,224
FEE000773,PAY000775,346,86
FEE000774,PAY000776,752,188
FEE000775,PAY000777,226,56
FEE000776,PAY000778,118,30
FEE000777,PAY000779,385,96
FEE000778,PAY000780,328,82
FEE000779,PAY000781,673,168
FEE000780,PAY000782,43,11
FEE000781,PAY000783,812,203
FEE000782,PAY000784,757,189
FEE000783,PAY000785,91,23
FEE000784,PAY000786,832,208
FEE000785,PAY000787,169,42
FEE000786,PAY000788,851,213
FEE000787,PAY000789,80,20
FEE000788,PAY000790,556,139
FEE000789,PAY000791,535,134
FEE000790,PAY000792,81,20
FEE000791,PAY000793,610,153
FEE000792,PAY000794,26,6
FEE000793,PAY000795,653,163
FEE000794,PAY000796,188,47
FEE000795,PAY000797,524,131
FEE000796,PAY000798,469,117
FEE000797,PAY000799,810,202
FEE000798,PAY000800,738,185
FEE000799,PAY000801,838,210
FEE000800,PAY000802,872,218
FEE000801,PAY000803,482,120
FEE000802,PAY000804,720,180
FEE000803,PAY000805,53,13
FEE000804,PAY000806,231,58
FEE000805,PAY000807,925,231
FEE000806,PAY000808,613,153
FEE000807,PAY000809,756,189
FEE000808,PAY000810,82,20
FEE000809,PAY000811,918,230
FEE000810,PAY000812,349,87
FEE000811,PAY000813,944,236
FEE000812,PAY000814,274,68
FEE000813,PAY000815,694,173
FEE000814,PAY000816,190,48
FEE000815,PAY000817,950,238
FEE000816,PAY000818,802,201
FEE000817,PAY000819,771,193
FEE000818,PAY000820,261,65
FEE000819,PAY000821,724,181
FEE000820,PAY000822,889,222
FEE000821,PAY000823,830,208
FEE000822,PAY000824,474,118
FEE000823,PAY000825,915,229
FEE000824,PAY000826,728,182
FEE000825,PAY000827,687,172
FEE000826,PAY000828,272,68
FEE000827,PAY000829,725,181
FEE000828,PAY000830,845,211
FEE000829,PAY000831,941,235
FEE000830,PAY000832,222,55
FEE000831,PAY000833,253,63
FEE000832,PAY000834,318,80
FEE000833,PAY000835,550,138
FEE000834,PAY000836,721,180
FEE000835,PAY000837,788,197
FEE000836,PAY000838,159,40
FEE000837,PAY000839,594,148
FEE000838,PAY000840,719,180
FEE000839,PAY000841,209,52
FEE000840,PAY000842,35,9
FEE000841,PAY000843,27,7
FEE000842,PAY000844,471,118
FEE000843,PAY000845,829,207
FEE000844,PAY000846,764,191
FEE000845,PAY000847,116,29
FEE000846,PAY000848,781,195
FEE000847,PAY000849,879,220
FEE000848,PAY000850,437,109
FEE000849,PAY000851,220,55
FEE000850,PAY000852,241,60
FEE000851,PAY000853,491,123
FEE000852,PAY000854,420,105
FEE000853,PAY000855,127,32
FEE000854,PAY000856,841,210
FEE000855,PAY000857,779,195
FEE000856,PAY000858,743,186
FEE000857,PAY000859,215,54
FEE000858,PAY000860,677,169
FEE000859,PAY000861,889,222
FEE000860,PAY000862,255,64
FEE000861,PAY000863,654,163
FEE000862,PAY000864,324,81
FEE000863,PAY000865,699,175
FEE000864,PAY000866,616,154
FEE000865,PAY000867,703,176
FEE000866,PAY000868,767,192
FEE000867,PAY000869,122,31
FEE000868,PAY000870,483,121
FEE000869,PAY000871,812,203
FEE000870,PAY000872,121,30
FEE000871,PAY000873,226,57
FEE000872,PAY000874,453,113
