settlement_id,payment_id,expected_amt,actual_amt,status,ts
SET000080,PAY000082,38195,38195,settled,2026-08-17T05:00:00
SET000081,PAY000083,24275,24275,settled,2026-09-02T21:00:00
SET000082,PAY000084,16919,16919,settled,2026-08-20T11:00:00
SET000083,PAY000085,10849,10849,settled,2026-08-25T11:00:00
SET000084,PAY000086,12288,12288,settled,2026-09-03T12:00:00
SET000085,PAY000087,22201,22201,settled,2026-08-18T00:00:00
SET000086,PAY000088,45100,45100,settled,2026-08-15T12:00:00
SET000087,PAY000089,30387,30387,settled,2026-08-25T20:00:00
SET000088,PAY000090,13315,13315,settled,2026-08-23T16:00:00
SET000089,PAY000091,18810,18810,settled,2026-08-13T20:00:00
SET000090,PAY000092,35237,35237,settled,2026-09-03T09:00:00
SET000091,PAY000093,16528,16528,settled,2026-09-02T22:00:00
SET000092,PAY000094,23063,23063,settled,2026-08-22T04:00:00
SET000093,PAY000095,28880,28880,settled,2026-08-27T11:00:00
SET000094,PAY000096,24377,24377,settled,2026-08-06T23:00:00
SET000095,PAY000097,5445,5445,settled,2026-08-21T11:00:00
SET000096,PAY000098,8938,8938,settled,2026-08-22T18:00:00
SET000097,PAY000099,21816,21816,settled,2026-08-22T23:00:00
SET000098,PAY000100,43461,43461,settled,2026-08-06T16:00:00
SET000099,PAY000101,20205,20205,settled,2026-09-04T11:00:00
SET000100,PAY000102,28444,28444,settled,2026-08-09T16:00:00
SET000101,PAY000103,29227,29227,settled,2026-08-13T18:00:00
SET000102,PAY000104,11817,11817,settled,2026-08-23T11:00:00
SET000103,PAY000105,15982,15982,settled,2026-08-25T23:00:00
SET000104,PAY000106,3391,3391,settled,2026-08-09T12:00:00
SET000105,PAY000107,41216,41216,settled,2026-08-19T04:00:00
SET000106,PAY000108,10405,10405,settled,2026-09-04T08:00:00
SET000107,PAY000109,12057,12057,settled,2026-08-13T11:00:00
SET000108,PAY000110,16897,16897,settled,2026-08-30T09:00:00
SET000109,PAY000111,30664,30664,settled,2026-08-11T17:00:00
SET000110,PAY000112,29254,29254,settled,2026-08-14T01:00:00
SET000111,PAY000113,35982,35982,settled,2026-08-28T19:00:00
SET000112,PAY000114,16773,16773,settled,2026-08-23T18:00:00
SET000113,PAY000115,18521,18521,settled,2026-08-23T09:00:00
SET000114,PAY000116,21403,21403,settled,2026-09-01T03:00:00
SET000115,PAY000117,25449,25449,settled,2026-08-26T10:00:00
SET000116,PAY000118,22117,22117,settled,2026-08-17T20:00:00
SET000117,PAY000119,27820,27820,settled,2026-08-10T15:00:00
SET000118,PAY000120,37759,37759,settled,2026-09-04T07:00:00
SET000119,PAY000121,25894,25894,settled,2026-08-17T16:00:00
SET000120,PAY000122,18415,18415,settled,2026-09-03T08:00:00
SET000121,PAY000123,44370,44370,settled,2026-08-28T12:00:00
SET000122,PAY000124,40735,40735,settled,2026-08-18T18:00:00
SET000123,PAY000125,24530,24530,settled,2026-08-27T19:00:00
SET000124,PAY000126,19165,19165,settled,2026-08-21T04:00:00
SET000125,PAY000127,27191,27191,settled,2026-08-15T12:00:00
SET000126,PAY000128,4303,4303,settled,2026-08-20T15:00:00
SET000127,PAY000129,42062,42062,settled,2026-08-25T00:00:00
SET000128,PAY000130,38558,38558,settled,2026-08-15T09:00:00
SET000129,PAY000131,14902,14902,settled,2026-08-24T15:00:00
SET000130,PAY000132,39776,39776,settled,2026-08-30T16:00:00
SET000131,PAY000133,7882,7882,settled,2026-08-22T06:00:00
SET000132,PAY000134,42635,42635,settled,2026-08-31T05:00:00
SET000133,PAY000135,39339,39339,settled,2026-08-11T10:00:00
SET000134,PAY000136,28348,28348,settled,2026-09-01T15:00:00
SET000135,PAY000137,27814,27814,settled,2026-08-31T01:00:00
SET000136,PAY000138,41587,41587,settled,2026-08-15T23:00:00
SET000137,PAY000139,34313,34313,settled,2026-08-24T01:00:00
SET000138,PAY000140,31805,31805,settled,2026-08-25T02:00:00
SET000139,PAY000141,25923,25923,settled,2026-08-11T06:00:00
SET000140,PAY000142,32559,32559,settled,2026-08-27T19:00:00
SET000141,PAY000143,17482,17482,settled,2026-08-10T03:00:00
SET000142,PAY000144,33986,33986,settled,2026-08-31T22:00:00
SET000143,PAY000145,32194,32194,settled,2026-08-25T07:00:00
SET000144,PAY000146,32337,32337,settled,2026-09-03T20:00:00
SET000145,PAY000147,26814,26814,settled,2026-08-22T12:00:00
SET000146,PAY000148,34899,34899,settled,2026-08-12T02:00:00
SET000147,PAY000149,27858,27858,settled,2026-08-25T17:00:00
SET000148,PAY000150,19571,19571,settled,2026-08-27T09:00:00
SET000149,PAY000151,18642,18642,settled,2026-08-13T04:00:00
SET000150,PAY000152,11850,11850,settled,2026-08-27T22:00:00
SET000151,PAY000153,34683,34683,settled,2026-09-02T06:00:00
SET000152,PAY000154,9043,9043,settled,2026-08-14T15:00:00
SET000153,PAY000155,33685,33685,settled,2026-08-16T18:00:00
SET000154,PAY000156,3719,3719,settled,2026-08-30T17:00:00
SET000155,PAY000157,5709,5709,settled,2026-09-02T07:00:00
SET000156,PAY000158,36939,36939,settled,2026-08-31T22:00:00
SET000157,PAY000159,27568,27568,settled,2026-08-09T04:00:00
SET000158,PAY000160,25279,25279,settled,2026-08-16T16:00:00
SET000159,PAY000161,28375,28375,settled,2026-08-09T02:00:00
SET000160,PAY000162,7315,7315,settled,2026-08-26T17:00:00
SET000161,PAY000163,5757,5757,settled,2026-08-12T00:00:00
SET000162,PAY000164,27078,27078,settled,2026-08-10T05:00:00
SET000163,PAY000165,14558,14558,settled,2026-08-16T05:00:00
SET000164,PAY000166,17878,17878,settled,2026-08-08T21:00:00
SET000165,PAY000167,34501,34501,settled,2026-08-24T05:00:00
SET000166,PAY000168,11577,11577,settled,2026-08-10T04:00:00
SET000167,PAY000169,30923,30923,settled,2026-08-18T09:00:00
SET000168,PAY000170,32527,32527,settled,2026-08-10T01:00:00
SET000169,PAY000171,21570,21570,settled,2026-09-03T11:00:00
SET000170,PAY000172,44060,44060,settled,2026-08-11T00:00:00
SET000171,PAY000173,43932,43932,settled,2026-08-10T23:00:00
SET000172,PAY000174,12169,12169,settled,2026-08-07T18:00:00
SET000173,PAY000175,12572,12572,settled,2026-08-16T23:00:00
SET000174,PAY000176,31007,31007,settled,2026-08-21T08:00:00
SET000175,PAY000177,11250,11250,settled,2026-08-14T10:00:00
SET000176,PAY000178,26563,26563,settled,2026-08-12T02:00:00
SET000177,PAY000179,20073,20073,settled,2026-08-18T08:00:00
SET000178,PAY000180,35645,35645,settled,2026-09-02T06:00:00
SET000179,PAY000181,40759,40759,settled,2026-08-08T21:00:00
SET000180,PAY000182,13395,13395,settled,2026-08-23T07:00:00
SET000181,PAY000183,26736,26736,settled,2026-08-09T14:00:00
SET000182,PAY000184,20831,20831,settled,2026-08-12T00:00:00
SET000183,PAY000185,8224,8224,settled,2026-08-30T13:00:00
SET000184,PAY000186,42235,42235,settled,2026-08-17T20:00:00
SET000185,PAY000187,16549,16549,settled,2026-08-29T09:00:00
SET000186,PAY000188,39273,39273,settled,2026-08-29T18:00:00
SET000187,PAY000189,27488,27488,settled,2026-08-13T22:00:00
SET000188,PAY000190,19047,19047,settled,2026-08-10T12:00:00
SET000189,PAY000191,29508,29508,settled,2026-08-20T20:00:00
SET000190,PAY000192,35699,35699,settled,2026-08-21T20:00:00
SET000191,PAY000193,16234,16234,settled,2026-08-25T14:00:00
SET000192,PAY000194,31196,31196,settled,2026-08-19T07:00:00
SET000193,PAY000195,42636,42636,settled,2026-08-14T10:00:00
SET000194,PAY000196,38686,38686,settled,2026-08-31T07:00:00
SET000195,PAY000197,28941,28941,settled,2026-08-18T02:00:00
SET000196,PAY000198,17909,17909,settled,2026-08-18T14:00:00
SET000197,PAY000199,44064,44064,settled,2026-08-19T08:00:00
SET000198,PAY000200,32153,32153,settled,2026-09-03T01:00:00
SET000199,PAY000201,44706,44706,settled,2026-08-25T21:00:00
SET000200,PAY000202,7265,7265,settled,2026-08-31T07:00:00
SET000201,PAY000203,20110,20110,settled,2026-09-02T14:00:00
SET000202,PAY000204,19720,19720,settled,2026-08-17T04:00:00
SET000203,PAY000205,27304,27304,settled,2026-08-27T21:00:00
SET000204,PAY000206,39919,39919,settled,2026-08-09T03:00:00
SET000205,PAY000207,34410,34410,settled,2026-08-08T08:00:00
SET000206,PAY000208,35912,35912,settled,2026-08-23T07:00:00
SET000207,PAY000209,23055,23055,settled,2026-08-22T19:00:00
SET000208,PAY000210,30165,30165,settled,2026-08-27T02:00:00
SET000209,PAY000211,6568,6568,settled,2026-08-20T06:00:00
SET000210,PAY000212,16390,16390,settled,2026-08-07T11:00:00
SET000211,PAY000213,37136,37136,settled,2026-09-02T11:00:00
SET000212,PAY000214,19262,19262,settled,2026-08-25T18:00:00
SET000213,PAY000215,13124,13124,settled,2026-08-06T15:00:00
SET000214,PAY000216,41068,41068,settled,2026-08-22T09:00:00
SET000215,PAY000217,24288,24288,settled,2026-08-31T17:00:00
SET000216,PAY000218,26392,26392,settled,2026-08-12T13:00:00
SET000217,PAY000219,18389,18389,settled,2026-08-24T14:00:00
SET000218,PAY000220,19833,19833,settled,2026-08-21T03:00:00
SET000219,PAY000221,5273,5273,settled,2026-08-06T17:00:00
SET000220,PAY000222,36586,36586,settled,2026-08-18T17:00:00
SET000221,PAY000223,8872,8872,settled,2026-08-06T21:00:00
SET000222,PAY000224,41776,41776,settled,2026-08-30T23:00:00
SET000223,PAY000225,40562,40562,settled,2026-08-11T15:00:00
SET000224,PAY000226,15119,15119,settled,2026-08-08T11:00:00
SET000225,PAY000227,20284,20284,settled,2026-08-30T14:00:00
SET000226,PAY000228,3352,3352,settled,2026-08-14T13:00:00
SET000227,PAY000229,31556,31556,settled,2026-08-19T18:00:00
SET000228,PAY000230,10847,10847,settled,2026-08-07T15:00:00
SET000229,PAY000231,40313,40313,settled,2026-08-23T15:00:00
SET000230,PAY000232,14857,14857,settled,2026-08-25T12:00:00
SET000231,PAY000233,44787,44787,settled,2026-08-08T01:00:00
SET000232,PAY000234,18053,18053,settled,2026-08-16T04:00:00
SET000233,PAY000235,41978,41978,settled,2026-09-03T16:00:00
SET000234,PAY000236,16538,16538,settled,2026-08-11T11:00:00
SET000235,PAY000237,34568,34568,settled,2026-08-25T15:00:00
SET000236,PAY000238,31975,31975,settled,2026-08-29T09:00:00
SET000237,PAY000239,11969,11969,settled,2026-08-29T23:00:00
SET000238,PAY000240,16178,16178,settled,2026-09-03T21:00:00
SET000239,PAY000241,9074,9074,settled,2026-08-13T03:00:00
SET000240,PAY000242,31406,31406,settled,2026-08-20T03:00:00
SET000241,PAY000243,15131,15131,settled,2026-09-02T17:00:00
SET000242,PAY000244,2425,2425,settled,2026-08-18T10:00:00
SET000243,PAY000245,32301,32301,settled,2026-08-16T15:00:00
SET000244,PAY000246,21556,21556,settled,2026-09-01T18:00:00
SET000245,PAY000247,41427,41427,settled,2026-08-21T17:00:00
SET000246,PAY000248,30685,30685,settled,2026-08-09T18:00:00
SET000247,PAY000249,36733,36733,settled,2026-08-26T09:00:00
SET000248,PAY000250,15575,15575,settled,2026-08-16T05:00:00
SET000249,PAY000251,7050,7050,settled,2026-08-22T05:00:00
SET000250,PAY000252,10728,10728,settled,2026-08-15T08:00:00
SET000251,PAY000253,6182,6182,settled,2026-08-19T16:00:00
SET000252,PAY000254,38448,38448,settled,2026-08-11T14:00:00
SET000253,PAY000255,27224,27224,settled,2026-08-07T04:00:00
SET000254,PAY000256,4262,4262,settled,2026-08-09T23:00:00
SET000255,PAY000257,37903,37903,settled,2026-08-28T23:00:00
SET000256,PAY000258,7890,7890,settled,2026-08-11T20:00:00
SET000257,PAY000259,18775,18775,settled,2026-08-17T06:00:00
SET000258,PAY000260,43008,43008,settled,2026-08-24T04:00:00
SET000259,PAY000261,45876,45876,settled,2026-08-21T02:00:00
SET000260,PAY000262,2391,2391,settled,2026-08-23T12:00:00
SET000261,PAY000263,41433,41433,settled,2026-08-31T16:00:00
SET000262,PAY000264,29961,29961,settled,2026-08-19T19:00:00
SET000263,PAY000265,37242,37242,settled,2026-09-02T08:00:00
SET000264,PAY000266,39067,39067,settled,2026-08-23T23:00:00
SET000265,PAY000267,32007,32007,settled,2026-08-17T21:00:00
SET000266,PAY000268,30141,30141,settled,2026-08-30T20:00:00
SET000267,PAY000269,38875,38875,settled,2026-08-07T02:00:00
SET000268,PAY000270,26230,26230,settled,2026-09-02T05:00:00
SET000269,PAY000271,14472,14472,settled,2026-08-24T16:00:00
SET000270,PAY000272,1468,1468,settled,2026-08-17T05:00:00
SET000271,PAY000273,35005,35005,settled,2026-08-14T05:00:00
SET000272,PAY000274,3678,3678,settled,2026-08-15T23:00:00
SET000273,PAY000275,37763,37763,settled,2026-08-18T07:00:00
SET000274,PAY000276,24145,24145,settled,2026-08-28T06:00:00
SET000275,PAY000277,23179,23179,settled,2026-08-25T04:00:00
SET000276,PAY000278,31863,31863,settled,2026-08-21T02:00:00
SET000277,PAY000279,11201,11201,settled,2026-08-12T22:00:00
SET000278,PAY000280,23299,23299,settled,2026-08-08T01:00:00
SET000279,PAY000281,9572,9572,settled,2026-08-09T21:00:00
SET000280,PAY000282,34715,34715,settled,2026-08-15T18:00:00
SET000281,PAY000283,37044,37044,settled,2026-08-08T22:00:00
SET000282,PAY000284,41052,41052,settled,2026-08-16T19:00:00
SET000283,PAY000285,41318,41318,settled,2026-08-23T20:00:00
SET000284,PAY000286,5716,5716,settled,2026-08-16T07:00:00
SET000285,PAY000287,15729,15729,settled,2026-08-31T17:00:00
SET000286,PAY000288,36393,36393,settled,2026-09-02T19:00:00
SET000287,PAY000289,37503,37503,settled,2026-08-21T20:00:00
SET000288,PAY000290,4928,4928,settled,2026-08-20T22:00:00
SET000289,PAY000291,10157,10157,settled,2026-08-16T20:00:00
SET000290,PAY000292,19050,19050,settled,2026-08-21T03:00:00
SET000291,PAY000293,42336,42336,settled,2026-08-21T12:00:00
SET000292,PAY000294,20687,20687,settled,2026-08-29T04:00:00
SET000293,PAY000295,37597,37597,settled,2026-08-22T08:00:00
SET000294,PAY000296,46268,46268,settled,2026-08-22T08:00:00
SET000295,PAY000297,21963,21963,settled,2026-08-06T23:00:00
SET000296,PAY000298,28029,28029,settled,2026-09-03T19:00:00
SET000297,PAY000299,14661,14661,settled,2026-08-14T20:00:00
SET000298,PAY000300,9110,9110,settled,2026-08-31T06:00:00
SET000299,PAY000301,34243,34243,settled,2026-08-29T00:00:00
SET000300,PAY000302,45246,45246,settled,2026-08-28T12:00:00
SET000301,PAY000303,24253,24253,settled,2026-08-25T10:00:00
SET000302,PAY000304,27651,27651,settled,2026-08-22T09:00:00
SET000303,PAY000305,13372,13372,settled,2026-08-11T05:00:00
SET000304,PAY000306,18980,18980,settled,2026-08-14T03:00:00
SET000305,PAY000307,13735,13735,settled,2026-08-29T16:00:00
SET000306,PAY000308,31683,31683,settled,2026-08-11T22:00:00
SET000307,PAY000309,33940,33940,settled,2026-08-23T10:00:00
SET000308,PAY000310,18405,18405,settled,2026-08-13T16:00:00
SET000309,PAY000311,6835,6835,settled,2026-08-26T02:00:00
SET000310,PAY000312,2678,2678,settled,2026-08-18T16:00:00
SET000311,PAY000313,6189,6189,settled,2026-09-03T09:00:00
SET000312,PAY000314,46642,46642,settled,2026-08-29T08:00:00
SET000313,PAY000315,31163,31163,settled,2026-08-29T15:00:00
SET000314,PAY000316,1310,1310,settled,2026-09-03T18:00:00
SET000315,PAY000317,10528,10528,settled,2026-08-09T14:00:00
SET000316,PAY000318,18835,18835,settled,2026-09-02T13:00:00
SET000317,PAY000319,40771,40771,settled,2026-08-30T20:00:00
SET000318,PAY000320,2025,2025,settled,2026-08-11T01:00:00
SET000319,PAY000321,19586,19586,settled,2026-08-09T08:00:00
SET000320,PAY000322,22068,22068,settled,2026-08-31T22:00:00
SET000321,PAY000323,34588,34588,settled,2026-08-13T22:00:00
SET000322,PAY000324,27796,27796,settled,2026-08-19T15:00:00
SET000323,PAY000325,23792,23792,settled,2026-08-20T20:00:00
SET000324,PAY000326,35622,35622,settled,2026-08-29T21:00:00
SET000325,PAY000327,22607,22607,settled,2026-08-28T02:00:00
SET000326,PAY000328,31552,31552,settled,2026-08-29T19:00:00
SET000327,PAY000329,28518,28518,settled,2026-09-02T17:00:00
SET000328,PAY000330,21140,21140,settled,2026-08-13T14:00:00
SET000329,PAY000331,35673,35673,settled,2026-09-03T00:00:00
SET000330,PAY000332,4028,4028,settled,2026-08-21T10:00:00
SET000331,PAY000333,24490,24490,settled,2026-08-18T12:00:00
SET000332,PAY000334,25680,25680,settled,2026-08-27T14:00:00
SET000333,PAY000335,24448,24448,settled,2026-08-13T10:00:00
SET000334,PAY000336,23115,23115,settled,2026-08-27T21:00:00
SET000335,PAY000337,6091,6091,settled,2026-08-22T23:00:00
SET000336,PAY000338,24516,24516,settled,2026-08-20T14:00:00
SET000337,PAY000339,23502,23502,settled,2026-08-17T00:00:00
SET000338,PAY000340,3938,3938,settled,2026-08-18T06:00:00
SET000339,PAY000341,43827,43827,settled,2026-08-29T11:00:00
SET000340,PAY000342,4471,4471,settled,2026-08-20T03:00:00
SET000341,PAY000343,3044,3044,settled,2026-08-06T14:00:00
SET000342,PAY000344,24745,24745,settled,2026-09-01T07:00:00
SET000343,PAY000345,26408,26408,settled,2026-08-23T16:00:00
SET000344,PAY000346,2631,2631,settled,2026-08-14T06:00:00
SET000345,PAY000347,7916,7916,settled,2026-08-16T13:00:00
SET000346,PAY000348,19222,19222,settled,2026-08-14T15:00:00
SET000347,PAY000349,5707,5707,settled,2026-08-16T14:00:00
SET000348,PAY000350,21395,21395,settled,2026-09-01T19:00:00
SET000349,PAY000351,11039,11039,settled,2026-08-08T08:00:00
SET000350,PAY000352,31786,31786,settled,2026-08-29T15:00:00
SET000351,PAY000353,2654,2654,settled,2026-08-11T03:00:00
SET000352,PAY000354,28930,28930,settled,2026-08-31T21:00:00
SET000353,PAY000355,46784,46784,settled,2026-08-13T03:00:00
SET000354,PAY000356,35062,35062,settled,2026-08-08T04:00:00
SET000355,PAY000357,44432,44432,settled,2026-08-30T02:00:00
SET000356,PAY000358,9220,9220,settled,2026-09-02T05:00:00
SET000357,PAY000359,17714,17714,settled,2026-08-25T23:00:00
SET000358,PAY000360,34131,34131,settled,2026-09-01T05:00:00
SET000359,PAY000361,31002,31002,settled,2026-08-22T15:00:00
SET000360,PAY000362,11750,11750,settled,2026-08-10T19:00:00
SET000361,PAY000363,40877,40877,settled,2026-08-09T18:00:00
SET000362,PAY000364,29862,29862,settled,2026-09-03T08:00:00
SET000363,PAY000365,41962,41962,settled,2026-08-24T06:00:00
SET000364,PAY000366,27593,27593,settled,2026-09-03T06:00:00
SET000365,PAY000367,33311,33311,settled,2026-08-14T23:00:00
SET000366,PAY000368,44744,44744,settled,2026-08-16T05:00:00
SET000367,PAY000369,11075,11075,settled,2026-08-14T22:00:00
SET000368,PAY000370,32632,32632,settled,2026-08-21T23:00:00
SET000369,PAY000371,9330,9330,settled,2026-08-13T14:00:00
SET000370,PAY000372,27048,27048,settled,2026-08-25T00:00:00
SET000371,PAY000373,19519,19519,settled,2026-08-09T07:00:00
SET000372,PAY000374,11180,11180,settled,2026-08-10T22:00:00
SET000373,PAY000375,11156,11156,settled,2026-08-13T14:00:00
SET000374,PAY000376,20690,20690,settled,2026-08-31T17:00:00
SET000375,PAY000377,14861,14861,settled,2026-09-02T12:00:00
SET000376,PAY000378,39154,39154,settled,2026-08-07T16:00:00
SET000377,PAY000379,1496,1496,settled,2026-08-17T04:00:00
SET000378,PAY000380,24347,24347,settled,2026-08-19T23:00:00
SET000379,PAY000381,37414,37414,settled,2026-08-20T02:00:00
SET000380,PAY000382,33195,33195,settled,2026-08-12T02:00:00
SET000381,PAY000383,40798,40798,settled,2026-08-30T12:00:00
SET000382,PAY000384,26144,26144,settled,2026-08-21T02:00:00
SET000383,PAY000385,13694,13694,settled,2026-08-18T10:00:00
SET000384,PAY000386,9730,9730,settled,2026-08-15T08:00:00
SET000385,PAY000387,28842,28842,settled,2026-08-21T23:00:00
SET000386,PAY000388,40367,40367,settled,2026-08-22T19:00:00
SET000387,PAY000389,33544,33544,settled,2026-08-11T13:00:00
SET000388,PAY000390,2038,2038,settled,2026-08-06T20:00:00
SET000389,PAY000391,38272,38272,settled,2026-08-08T17:00:00
SET000390,PAY000392,17941,17941,settled,2026-08-10T21:00:00
SET000391,PAY000393,38260,38260,settled,2026-08-13T05:00:00
SET000392,PAY000394,42622,42622,settled,2026-08-27T10:00:00
SET000393,PAY000395,26014,26014,settled,2026-08-18T01:00:00
SET000394,PAY000396,4954,4954,settled,2026-08-13T10:00:00
SET000395,PAY000397,43289,43289,settled,2026-08-19T12:00:00
SET000396,PAY000398,30346,30346,settled,2026-08-20T23:00:00
SET000397,PAY000399,44473,44473,settled,2026-08-24T07:00:00
SET000398,PAY000400,15454,15454,settled,2026-08-25T23:00:00
SET000399,PAY000401,37955,37955,settled,2026-08-22T01:00:00
SET000400,PAY000402,16050,16050,settled,2026-08-06T17:00:00
SET000401,PAY000403,26185,26185,settled,2026-08-29T08:00:00
SET000402,PAY000404,39309,39309,settled,2026-08-07T14:00:00
SET000403,PAY000405,12392,12392,settled,2026-08-24T00:00:00
SET000404,PAY000406,40315,40315,settled,2026-08-25T08:00:00
SET000405,PAY000407,32950,32950,settled,2026-09-02T08:00:00
SET000406,PAY000408,24796,24796,settled,2026-08-29T17:00:00
SET000407,PAY000409,11066,11066,settled,2026-08-15T06:00:00
SET000408,PAY000410,19329,19329,settled,2026-08-08T00:00:00
SET000409,PAY000411,6691,6691,settled,2026-08-25T16:00:00
SET000410,PAY000412,12162,12162,settled,2026-08-28T01:00:00
SET000411,PAY000413,26342,26342,settled,2026-08-27T15:00:00
SET000412,PAY000414,1463,1463,settled,2026-08-21T06:00:00
SET000413,PAY000415,41953,41953,settled,2026-08-14T12:00:00
SET000414,PAY000416,29909,29909,settled,2026-08-21T11:00:00
SET000415,PAY000417,39299,39299,settled,2026-09-03T23:00:00
SET000416,PAY000418,37255,37255,settled,2026-08-27T08:00:00
SET000417,PAY000419,41788,41788,settled,2026-08-17T08:00:00
SET000418,PAY000420,41386,41386,settled,2026-08-15T05:00:00
SET000419,PAY000421,1301,1301,settled,2026-08-16T12:00:00
SET000420,PAY000422,20268,20268,settled,2026-08-11T03:00:00
SET000421,PAY000423,23949,23949,settled,2026-09-01T22:00:00
SET000422,PAY000424,11181,11181,settled,2026-08-14T03:00:00
